dataset,run,gap,gap_seed,method,short_name,lead,far_preonset_pct,valid
IMS,1st_test,0.2,105,3σ Rule (σ=3.0),three_sigma,111.5988888888889,50.90909090909091,False
IMS,1st_test,0.2,105,"EWMA (λ=0.2, k=3.0)",ewma,152.23222222222222,63.030303030303024,False
IMS,1st_test,0.2,105,"CUSUM (k=0.5, h=5.0)",cusum,114.0988888888889,56.96969696969697,False
IMS,1st_test,0.2,105,Hotelling T²,hotelling_t2,152.23222222222222,67.87878787878789,False
IMS,1st_test,0.2,105,Isolation Forest,isolation_forest,152.23222222222222,74.54545454545455,False
IMS,2nd_test,0.0,-1,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,2nd_test,0.0,-1,3σ Rule (σ=3.0),three_sigma,56.333333333333336,0.0,True
IMS,2nd_test,0.0,-1,"EWMA (λ=0.2, k=3.0)",ewma,55.5,0.0,True
IMS,2nd_test,0.0,-1,"CUSUM (k=0.5, h=5.0)",cusum,53.0,0.0,True
IMS,2nd_test,0.0,-1,Hotelling T²,hotelling_t2,56.333333333333336,0.0,True
IMS,2nd_test,0.0,-1,Isolation Forest,isolation_forest,49.666666666666664,0.0,True
IMS,2nd_test,0.05,101,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,2nd_test,0.05,101,3σ Rule (σ=3.0),three_sigma,56.333333333333336,0.0,True
IMS,2nd_test,0.05,101,"EWMA (λ=0.2, k=3.0)",ewma,55.5,0.0,True
IMS,2nd_test,0.05,101,"CUSUM (k=0.5, h=5.0)",cusum,52.166666666666664,0.0,True
IMS,2nd_test,0.05,101,Hotelling T²,hotelling_t2,56.333333333333336,0.0,True
IMS,2nd_test,0.05,101,Isolation Forest,isolation_forest,49.666666666666664,0.0,True
IMS,2nd_test,0.05,102,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,2nd_test,0.05,102,3σ Rule (σ=3.0),three_sigma,56.333333333333336,0.0,True
IMS,2nd_test,0.05,102,"EWMA (λ=0.2, k=3.0)",ewma,55.5,0.0,True
IMS,2nd_test,0.05,102,"CUSUM (k=0.5, h=5.0)",cusum,53.0,0.0,True
IMS,2nd_test,0.05,102,Hotelling T²,hotelling_t2,56.333333333333336,0.0,True
IMS,2nd_test,0.05,102,Isolation Forest,isolation_forest,49.666666666666664,0.0,True
IMS,2nd_test,0.05,103,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,2nd_test,0.05,103,3σ Rule (σ=3.0),three_sigma,56.333333333333336,0.0,True
IMS,2nd_test,0.05,103,"EWMA (λ=0.2, k=3.0)",ewma,55.5,0.0,True
IMS,2nd_test,0.05,103,"CUSUM (k=0.5, h=5.0)",cusum,53.0,0.0,True
IMS,2nd_test,0.05,103,Hotelling T²,hotelling_t2,56.333333333333336,0.0,True
IMS,2nd_test,0.05,103,Isolation Forest,isolation_forest,48.0,0.0,True
IMS,2nd_test,0.05,104,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,2nd_test,0.05,104,3σ Rule (σ=3.0),three_sigma,56.333333333333336,0.0,True
IMS,2nd_test,0.05,104,"EWMA (λ=0.2, k=3.0)",ewma,55.5,0.0,True
IMS,2nd_test,0.05,104,"CUSUM (k=0.5, h=5.0)",cusum,51.333333333333336,0.0,True
IMS,2nd_test,0.05,104,Hotelling T²,hotelling_t2,56.333333333333336,0.0,True
IMS,2nd_test,0.05,104,Isolation Forest,isolation_forest,48.0,0.0,True
IMS,2nd_test,0.05,105,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,2nd_test,0.05,105,3σ Rule (σ=3.0),three_sigma,56.333333333333336,0.0,True
IMS,2nd_test,0.05,105,"EWMA (λ=0.2, k=3.0)",ewma,55.5,0.0,True
IMS,2nd_test,0.05,105,"CUSUM (k=0.5, h=5.0)",cusum,52.166666666666664,0.0,True
IMS,2nd_test,0.05,105,Hotelling T²,hotelling_t2,56.333333333333336,0.0,True
IMS,2nd_test,0.05,105,Isolation Forest,isolation_forest,49.666666666666664,0.0,True
IMS,2nd_test,0.2,101,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,2nd_test,0.2,101,3σ Rule (σ=3.0),three_sigma,56.333333333333336,0.0,True
IMS,2nd_test,0.2,101,"EWMA (λ=0.2, k=3.0)",ewma,54.666666666666664,0.0,True
IMS,2nd_test,0.2,101,"CUSUM (k=0.5, h=5.0)",cusum,49.666666666666664,0.0,True
IMS,2nd_test,0.2,101,Hotelling T²,hotelling_t2,56.333333333333336,0.0,True
IMS,2nd_test,0.2,101,Isolation Forest,isolation_forest,47.166666666666664,0.0,True
IMS,2nd_test,0.2,102,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,2nd_test,0.2,102,3σ Rule (σ=3.0),three_sigma,56.333333333333336,0.0,True
IMS,2nd_test,0.2,102,"EWMA (λ=0.2, k=3.0)",ewma,55.5,0.0,True
IMS,2nd_test,0.2,102,"CUSUM (k=0.5, h=5.0)",cusum,52.166666666666664,0.0,True
IMS,2nd_test,0.2,102,Hotelling T²,hotelling_t2,56.333333333333336,0.0,True
IMS,2nd_test,0.2,102,Isolation Forest,isolation_forest,49.666666666666664,0.0,True
IMS,2nd_test,0.2,103,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,2nd_test,0.2,103,3σ Rule (σ=3.0),three_sigma,56.333333333333336,0.0,True
IMS,2nd_test,0.2,103,"EWMA (λ=0.2, k=3.0)",ewma,55.5,0.0,True
IMS,2nd_test,0.2,103,"CUSUM (k=0.5, h=5.0)",cusum,53.0,0.0,True
IMS,2nd_test,0.2,103,Hotelling T²,hotelling_t2,56.333333333333336,0.0,True
IMS,2nd_test,0.2,103,Isolation Forest,isolation_forest,47.166666666666664,0.0,True
IMS,2nd_test,0.2,104,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,2nd_test,0.2,104,3σ Rule (σ=3.0),three_sigma,56.333333333333336,0.0,True
IMS,2nd_test,0.2,104,"EWMA (λ=0.2, k=3.0)",ewma,55.5,0.0,True
IMS,2nd_test,0.2,104,"CUSUM (k=0.5, h=5.0)",cusum,52.166666666666664,0.0,True
IMS,2nd_test,0.2,104,Hotelling T²,hotelling_t2,56.333333333333336,0.0,True
IMS,2nd_test,0.2,104,Isolation Forest,isolation_forest,48.0,0.0,True
IMS,2nd_test,0.2,105,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,2nd_test,0.2,105,3σ Rule (σ=3.0),three_sigma,56.333333333333336,0.0,True
IMS,2nd_test,0.2,105,"EWMA (λ=0.2, k=3.0)",ewma,55.5,0.0,True
IMS,2nd_test,0.2,105,"CUSUM (k=0.5, h=5.0)",cusum,52.166666666666664,0.0,True
IMS,2nd_test,0.2,105,Hotelling T²,hotelling_t2,56.333333333333336,0.0,True
IMS,2nd_test,0.2,105,Isolation Forest,isolation_forest,47.166666666666664,0.0,True
IMS,3rd_test,0.0,-1,RMS-Trend (kσ),rms_trend,9.666666666666666,0.0,True
IMS,3rd_test,0.0,-1,3σ Rule (σ=3.0),three_sigma,28.833333333333332,0.0,True
IMS,3rd_test,0.0,-1,"EWMA (λ=0.2, k=3.0)",ewma,28.0,0.0,True
IMS,3rd_test,0.0,-1,"CUSUM (k=0.5, h=5.0)",cusum,26.333333333333332,0.0,True
