dataset,short_name,indicator,max_abs_dev_row_lead_h,row_nan_mismatch,max_abs_dev_run_diff_h,n_run_diffs,median_rms_kurt_h,median_alt_h
FEMTO,lstm_ae,kurt_only,0.0,0,0.0,6,-0.04902777777777778,-0.04902777777777778
FEMTO,one_class_svm,kurt_only,0.0,0,0.0,6,0.03555555555555548,0.03555555555555548
FEMTO,rms_trend,kurt_only,0.0,0,0.0,6,-0.025000000000000012,-0.025000000000000012
FEMTO,tcn,kurt_only,0.0,0,0.0,6,0.0011111111111112293,0.0011111111111112293
FEMTO,three_sigma,kurt_only,0.0,0,0.0,6,-0.09861111111111118,-0.09861111111111118
FEMTO,transformer_ad,kurt_only,0.0,0,0.0,6,0.041250000000000064,0.041250000000000064
Ferrara,cusum,kurt_only,0.0,0,0.0,6,0.011111111111111134,0.011111111111111134
Ferrara,deep_svdd,kurt_only,0.0,0,0.0,6,-0.00555555555555555,-0.00555555555555555
Ferrara,ewma,kurt_only,0.0,0,0.0,6,0.007083333333333358,0.007083333333333358
Ferrara,hotelling_t2,kurt_only,0.0,0,0.0,6,0.04555555555555557,0.04555555555555557
Ferrara,isolation_forest,kurt_only,0.0,0,0.0,6,-0.07527777777777775,-0.07527777777777775
Ferrara,lstm_ae,kurt_only,0.0,0,0.0,6,0.0033333333333333062,0.0033333333333333062
Ferrara,one_class_svm,kurt_only,0.0,0,0.0,6,0.01958333333333337,0.01958333333333337
Ferrara,rms_trend,kurt_only,0.0,0,0.0,6,-0.0030555555555555475,-0.0030555555555555475
Ferrara,tcn,kurt_only,0.0,0,0.0,6,0.0033333333333333062,0.0033333333333333062
Ferrara,three_sigma,kurt_only,0.0,0,0.0,6,-0.021111111111111164,-0.021111111111111164
Ferrara,transformer_ad,kurt_only,0.0,0,0.0,6,0.0033333333333333062,0.0033333333333333062
IMS,cusum,kurt_only,0.0,0,0.0,3,4.266666666666669,4.266666666666669
IMS,deep_svdd,kurt_only,0.0,0,0.0,3,0.0,0.0
IMS,ewma,kurt_only,0.0,0,0.0,3,2.1000000000000014,2.1000000000000014
IMS,hotelling_t2,kurt_only,0.0,0,0.0,3,1.1666666666666643,1.1666666666666643
IMS,isolation_forest,kurt_only,0.0,0,0.0,3,3.4333333333333336,3.4333333333333336
IMS,lstm_ae,kurt_only,0.0,0,0.0,3,-0.4166666666666572,-0.4166666666666572
IMS,one_class_svm,kurt_only,0.0,0,0.0,3,-2.4333333333332803,-2.4333333333332803
IMS,rms_trend,kurt_only,0.0,0,0.0,3,0.0,0.0
IMS,tcn,kurt_only,0.0,0,0.0,3,-0.4166666666666572,-0.4166666666666572
IMS,three_sigma,kurt_only,0.0,0,0.0,3,15.099999999999994,15.099999999999994
IMS,transformer_ad,kurt_only,0.0,0,0.0,3,-0.4166666666666572,-0.4166666666666572
XJTU-SY,cusum,kurt_only,0.0,0,0.0,10,0.0,0.0
XJTU-SY,deep_svdd,kurt_only,0.0,0,0.0,10,0.0,0.0
XJTU-SY,ewma,kurt_only,0.0,0,0.0,10,0.0,0.0
XJTU-SY,hotelling_t2,kurt_only,0.0,0,0.0,10,0.0,0.0
XJTU-SY,isolation_forest,kurt_only,0.0,0,0.0,10,-0.10277777777777772,-0.10277777777777772
XJTU-SY,lstm_ae,kurt_only,0.0,0,0.0,3,0.0,0.0
XJTU-SY,one_class_svm,kurt_only,0.0,0,0.0,10,0.0,0.0
XJTU-SY,rms_trend,kurt_only,0.0,0,0.0,10,0.0,0.0
XJTU-SY,tcn,kurt_only,0.0,0,0.0,3,0.0,0.0
XJTU-SY,three_sigma,kurt_only,0.0,0,0.0,10,0.0,0.0
XJTU-SY,transformer_ad,kurt_only,0.0,0,0.0,3,0.0,0.0
