dataset,run,indicator,note,t_onset,onset_pct,max_lead_hours,test_start,onset_before_test_start
FEMTO,Bearing2_1,kurt_only,,2011-01-01 02:16:20,89.89010989010988,0.25555555555555554,2011-01-01 01:30:50,False
FEMTO,Bearing2_2,rms_kurt,,2011-01-01 02:10:40,98.49246231155779,0.03333333333333333,2011-01-01 01:19:10,False
FEMTO,Bearing2_2,pca1,,2011-01-01 02:06:40,95.47738693467336,0.1,2011-01-01 01:19:10,False
FEMTO,Bearing2_2,kurt_only,,2011-01-01 02:05:10,94.34673366834171,0.125,2011-01-01 01:19:10,False
FEMTO,Bearing3_1,rms_kurt,,2011-01-01 01:21:00,94.55252918287938,0.07777777777777778,2011-01-01 00:51:40,False
FEMTO,Bearing3_1,pca1,,2011-01-01 01:21:40,95.3307392996109,0.06666666666666667,2011-01-01 00:51:40,False
FEMTO,Bearing3_1,kurt_only,,2011-01-01 01:21:00,94.55252918287938,0.07777777777777778,2011-01-01 00:51:40,False
FEMTO,Bearing3_2,rms_kurt,,2011-01-01 04:24:30,97.00488997555013,0.1361111111111111,2011-01-01 02:43:20,False
FEMTO,Bearing3_2,pca1,,2011-01-01 04:24:00,96.82151589242054,0.14444444444444443,2011-01-01 02:43:20,False
FEMTO,Bearing3_2,kurt_only,,2011-01-01 04:01:00,88.38630806845966,0.5277777777777778,2011-01-01 02:43:20,False
Ferrara,E1,rms_kurt,,2024-01-01 06:44:40,98.77949552481692,0.08333333333333333,2024-01-01 04:05:50,False
Ferrara,E1,pca1,,2024-01-01 06:44:40,98.77949552481692,0.08333333333333333,2024-01-01 04:05:50,False
Ferrara,E1,kurt_only,,2024-01-01 06:44:40,98.77949552481692,0.08333333333333333,2024-01-01 04:05:50,False
Ferrara,E2,rms_kurt,,2024-01-01 02:39:20,96.37096774193549,0.1,2024-01-01 01:39:10,False
Ferrara,E2,pca1,,2024-01-01 02:40:00,96.7741935483871,0.08888888888888889,2024-01-01 01:39:10,False
Ferrara,E2,kurt_only,,,,,2024-01-01 01:39:10,False
Ferrara,E3,rms_kurt,,2024-01-01 01:49:45,55.22012578616352,1.4833333333333334,2024-01-01 01:59:10,True
Ferrara,E3,pca1,,2024-01-01 02:59:40,90.39832285115304,0.31805555555555554,2024-01-01 01:59:10,False
Ferrara,E3,kurt_only,,,,,2024-01-01 01:59:10,False
Ferrara,E4,rms_kurt,,2024-01-01 00:48:40,87.42514970059881,0.11666666666666667,2024-01-01 00:33:20,False
Ferrara,E4,pca1,,2024-01-01 00:49:00,88.02395209580838,0.1111111111111111,2024-01-01 00:33:20,False
Ferrara,E4,kurt_only,,,,,2024-01-01 00:33:20,False
Ferrara,E5,rms_kurt,,2024-01-01 02:17:30,95.93023255813954,0.09722222222222222,2024-01-01 01:25:50,False
Ferrara,E5,pca1,,2024-01-01 02:17:45,96.1046511627907,0.09305555555555556,2024-01-01 01:25:50,False
Ferrara,E5,kurt_only,,2024-01-01 01:51:40,77.90697674418605,0.5277777777777778,2024-01-01 01:25:50,False
Ferrara,E6,rms_kurt,,2024-01-01 00:28:35,67.51968503937007,0.22916666666666666,2024-01-01 00:25:25,False
Ferrara,E6,pca1,,2024-01-01 00:41:40,98.4251968503937,0.011111111111111112,2024-01-01 00:25:25,False
Ferrara,E6,kurt_only,,,,,2024-01-01 00:25:25,False
ONGC,LPC,rms_kurt,falls back to rms-only z (no kurt_ch* columns),2023-11-13 03:44:01,94.90272008261165,6.033055555555555,2023-11-11 22:25:20,False
ONGC,LPC,pca1,,2023-11-12 18:03:11,86.72369687155296,15.713611111111112,2023-11-11 22:25:20,False
ONGC,LPC,kurt_only,n/a: no kurt_ch* columns,,,,2023-11-11 22:25:20,False
