dataset,run,gap,short_name,lead,valid
XJTU-SY,Bearing1_3,0.05,isolation_forest,1.0333333333333334,True
XJTU-SY,Bearing1_3,0.05,rms_trend,0.0,False
XJTU-SY,Bearing1_3,0.2,three_sigma,1.0333333333333334,True
XJTU-SY,Bearing1_3,0.2,ewma,1.0333333333333334,True
XJTU-SY,Bearing1_3,0.2,cusum,1.0333333333333334,True
XJTU-SY,Bearing1_3,0.2,hotelling_t2,1.0333333333333334,True
XJTU-SY,Bearing1_3,0.2,isolation_forest,1.0333333333333334,True
XJTU-SY,Bearing1_3,0.2,rms_trend,0.0,False
XJTU-SY,Bearing1_4,0.0,three_sigma,0.6833333333333333,True
XJTU-SY,Bearing1_4,0.0,ewma,0.7666666666666667,False
XJTU-SY,Bearing1_4,0.0,cusum,0.7666666666666667,False
XJTU-SY,Bearing1_4,0.0,hotelling_t2,0.85,False
XJTU-SY,Bearing1_4,0.0,isolation_forest,0.6833333333333333,True
XJTU-SY,Bearing1_4,0.0,rms_trend,0.0,False
XJTU-SY,Bearing1_4,0.05,three_sigma,0.6833333333333333,True
XJTU-SY,Bearing1_4,0.05,ewma,0.7666666666666667,False
XJTU-SY,Bearing1_4,0.05,cusum,0.7666666666666667,False
XJTU-SY,Bearing1_4,0.05,hotelling_t2,0.85,False
XJTU-SY,Bearing1_4,0.05,isolation_forest,0.6833333333333333,True
XJTU-SY,Bearing1_4,0.05,rms_trend,0.0,False
XJTU-SY,Bearing1_4,0.2,three_sigma,0.7666666666666667,False
XJTU-SY,Bearing1_4,0.2,ewma,0.7666666666666667,False
XJTU-SY,Bearing1_4,0.2,cusum,0.7666666666666667,False
XJTU-SY,Bearing1_4,0.2,hotelling_t2,0.7666666666666667,False
XJTU-SY,Bearing1_4,0.2,isolation_forest,0.85,False
XJTU-SY,Bearing1_4,0.2,rms_trend,0.0,False
XJTU-SY,Bearing1_5,0.0,three_sigma,0.35,True
XJTU-SY,Bearing1_5,0.0,ewma,0.35,True
XJTU-SY,Bearing1_5,0.0,cusum,0.35,True
XJTU-SY,Bearing1_5,0.0,hotelling_t2,0.35,True
XJTU-SY,Bearing1_5,0.0,isolation_forest,0.0,False
XJTU-SY,Bearing1_5,0.0,rms_trend,0.0,False
XJTU-SY,Bearing1_5,0.05,three_sigma,0.35,True
XJTU-SY,Bearing1_5,0.05,ewma,0.35,True
XJTU-SY,Bearing1_5,0.05,cusum,0.35,True
XJTU-SY,Bearing1_5,0.05,hotelling_t2,0.35,True
XJTU-SY,Bearing1_5,0.05,isolation_forest,0.0,False
XJTU-SY,Bearing1_5,0.05,rms_trend,0.0,False
XJTU-SY,Bearing1_5,0.2,three_sigma,0.35,True
XJTU-SY,Bearing1_5,0.2,ewma,0.35,True
XJTU-SY,Bearing1_5,0.2,cusum,0.35,True
XJTU-SY,Bearing1_5,0.2,hotelling_t2,0.35,True
XJTU-SY,Bearing1_5,0.2,isolation_forest,0.0,False
XJTU-SY,Bearing1_5,0.2,rms_trend,0.0,False
XJTU-SY,Bearing2_1,0.0,three_sigma,0.6666666666666666,True
XJTU-SY,Bearing2_1,0.0,ewma,0.6666666666666666,True
XJTU-SY,Bearing2_1,0.0,cusum,0.6666666666666666,True
XJTU-SY,Bearing2_1,0.0,hotelling_t2,1.4166666666666667,False
XJTU-SY,Bearing2_1,0.0,isolation_forest,0.6666666666666666,True
XJTU-SY,Bearing2_1,0.0,rms_trend,0.0,False
XJTU-SY,Bearing2_1,0.05,three_sigma,0.6666666666666666,True
XJTU-SY,Bearing2_1,0.05,ewma,0.6666666666666666,True
XJTU-SY,Bearing2_1,0.05,cusum,0.6666666666666666,True
XJTU-SY,Bearing2_1,0.05,hotelling_t2,1.4166666666666667,False
XJTU-SY,Bearing2_1,0.05,isolation_forest,0.6666666666666666,True
XJTU-SY,Bearing2_1,0.05,rms_trend,0.0,False
XJTU-SY,Bearing2_1,0.2,three_sigma,0.6666666666666666,True
XJTU-SY,Bearing2_1,0.2,ewma,0.6666666666666666,True
XJTU-SY,Bearing2_1,0.2,cusum,0.6666666666666666,True
XJTU-SY,Bearing2_1,0.2,hotelling_t2,1.4166666666666667,False
XJTU-SY,Bearing2_1,0.2,isolation_forest,0.6666666666666666,True
XJTU-SY,Bearing2_1,0.2,rms_trend,0.0,False
XJTU-SY,Bearing2_2,0.0,three_sigma,0.0,False
XJTU-SY,Bearing2_2,0.0,ewma,0.9166666666666666,True
XJTU-SY,Bearing2_2,0.0,cusum,0.8333333333333334,True
XJTU-SY,Bearing2_2,0.0,hotelling_t2,1.0833333333333333,True
XJTU-SY,Bearing2_2,0.0,isolation_forest,0.0,False
XJTU-SY,Bearing2_2,0.0,rms_trend,0.0,False
XJTU-SY,Bearing2_2,0.05,three_sigma,0.0,False
XJTU-SY,Bearing2_2,0.05,ewma,0.9166666666666666,True
XJTU-SY,Bearing2_2,0.05,cusum,0.9166666666666666,True
XJTU-SY,Bearing2_2,0.05,hotelling_t2,1.0833333333333333,True
XJTU-SY,Bearing2_2,0.05,isolation_forest,0.0,False
XJTU-SY,Bearing2_2,0.05,rms_trend,0.0,False
XJTU-SY,Bearing2_2,0.2,three_sigma,0.0,False
XJTU-SY,Bearing2_2,0.2,ewma,0.9166666666666666,True
XJTU-SY,Bearing2_2,0.2,cusum,0.8333333333333334,True
XJTU-SY,Bearing2_2,0.2,hotelling_t2,1.0833333333333333,True
XJTU-SY,Bearing2_2,0.2,isolation_forest,0.0,False
XJTU-SY,Bearing2_2,0.2,rms_trend,0.0,False
XJTU-SY,Bearing2_3,0.0,three_sigma,3.533333333333333,False
XJTU-SY,Bearing2_3,0.0,ewma,3.45,True
XJTU-SY,Bearing2_3,0.0,cusum,3.45,True
XJTU-SY,Bearing2_3,0.0,hotelling_t2,3.533333333333333,False
XJTU-SY,Bearing2_3,0.0,isolation_forest,3.533333333333333,False
XJTU-SY,Bearing2_3,0.0,rms_trend,0.0,False
XJTU-SY,Bearing2_3,0.05,three_sigma,3.533333333333333,False
XJTU-SY,Bearing2_3,0.05,ewma,3.533333333333333,False
XJTU-SY,Bearing2_3,0.05,cusum,3.45,True
XJTU-SY,Bearing2_3,0.05,hotelling_t2,3.533333333333333,False
XJTU-SY,Bearing2_3,0.05,isolation_forest,3.533333333333333,False
XJTU-SY,Bearing2_3,0.05,rms_trend,0.0,False
XJTU-SY,Bearing2_3,0.2,three_sigma,3.533333333333333,False
XJTU-SY,Bearing2_3,0.2,ewma,3.533333333333333,False
XJTU-SY,Bearing2_3,0.2,cusum,3.45,True
XJTU-SY,Bearing2_3,0.2,hotelling_t2,3.533333333333333,False
XJTU-SY,Bearing2_3,0.2,isolation_forest,3.533333333333333,False
XJTU-SY,Bearing2_3,0.2,rms_trend,0.36666666666666664,True
XJTU-SY,Bearing2_4,0.0,three_sigma,0.26666666666666666,False
XJTU-SY,Bearing2_4,0.0,ewma,0.26666666666666666,False
XJTU-SY,Bearing2_4,0.0,cusum,0.26666666666666666,False
XJTU-SY,Bearing2_4,0.0,hotelling_t2,0.26666666666666666,False
XJTU-SY,Bearing2_4,0.0,isolation_forest,0.26666666666666666,False
XJTU-SY,Bearing2_4,0.0,rms_trend,0.0,False
XJTU-SY,Bearing2_4,0.05,three_sigma,0.26666666666666666,False
XJTU-SY,Bearing2_4,0.05,ewma,0.26666666666666666,False
XJTU-SY,Bearing2_4,0.05,cusum,0.26666666666666666,False
XJTU-SY,Bearing2_4,0.05,hotelling_t2,0.0,False
XJTU-SY,Bearing2_4,0.05,isolation_forest,0.26666666666666666,False
XJTU-SY,Bearing2_4,0.05,rms_trend,0.0,False
XJTU-SY,Bearing2_4,0.2,three_sigma,0.26666666666666666,False
XJTU-SY,Bearing2_4,0.2,ewma,0.26666666666666666,False
XJTU-SY,Bearing2_4,0.2,cusum,0.26666666666666666,False
XJTU-SY,Bearing2_4,0.2,hotelling_t2,0.0,False
XJTU-SY,Bearing2_4,0.2,isolation_forest,0.26666666666666666,False
XJTU-SY,Bearing2_4,0.2,rms_trend,0.0,False
XJTU-SY,Bearing2_5,0.0,three_sigma,2.3,True
XJTU-SY,Bearing2_5,0.0,ewma,2.3,True
XJTU-SY,Bearing2_5,0.0,cusum,2.3,True
XJTU-SY,Bearing2_5,0.0,hotelling_t2,2.3,True
XJTU-SY,Bearing2_5,0.0,isolation_forest,2.3,True
XJTU-SY,Bearing2_5,0.0,rms_trend,0.0,False
XJTU-SY,Bearing2_5,0.05,three_sigma,2.3,True
XJTU-SY,Bearing2_5,0.05,ewma,2.3,True
XJTU-SY,Bearing2_5,0.05,cusum,2.3,True
XJTU-SY,Bearing2_5,0.05,hotelling_t2,2.3,True
XJTU-SY,Bearing2_5,0.05,isolation_forest,2.3,True
XJTU-SY,Bearing2_5,0.05,rms_trend,0.0,False
XJTU-SY,Bearing2_5,0.2,three_sigma,2.3,True
XJTU-SY,Bearing2_5,0.2,ewma,2.3,True
XJTU-SY,Bearing2_5,0.2,cusum,2.3,True
XJTU-SY,Bearing2_5,0.2,hotelling_t2,2.3,True
XJTU-SY,Bearing2_5,0.2,isolation_forest,2.3,True
XJTU-SY,Bearing2_5,0.2,rms_trend,0.0,False
