run,kind,method,sigma_k,onset,onset_pct,max_lead_hours,run_span_hours
2nd_test,rms_kurt,sigma,3.0,2004-02-16 15:42:00,61.74974567650051,62.666666666666664,163.83333333333334
2nd_test,rms_kurt,sigma,4.0,2004-02-16 21:02:00,65.00508646998983,57.333333333333336,163.83333333333334
2nd_test,rms_kurt,sigma,5.0,2004-02-16 22:22:00,65.81892166836215,56.0,163.83333333333334
2nd_test,rms_kurt,cusum,3.0,2004-02-12 10:32:00,0.0,163.83333333333334,163.83333333333334
2nd_test,rms_kurt,cusum,4.0,2004-02-12 10:32:00,0.0,163.83333333333334,163.83333333333334
2nd_test,rms_kurt,cusum,5.0,2004-02-12 10:32:00,0.0,163.83333333333334,163.83333333333334
2nd_test,pca1,terminal,3.0,2004-02-17 07:32:00,71.41403865717193,46.833333333333336,163.83333333333334
2nd_test,pca1,terminal,4.0,2004-02-18 03:32:00,83.62156663275687,26.833333333333332,163.83333333333334
2nd_test,pca1,terminal,5.0,2004-02-18 03:52:00,83.82502543234995,26.5,163.83333333333334
2nd_test,pca1,sigma,3.0,2004-02-17 07:32:00,71.41403865717193,46.833333333333336,163.83333333333334
2nd_test,pca1,sigma,4.0,2004-02-17 07:32:00,71.41403865717193,46.833333333333336,163.83333333333334
2nd_test,pca1,sigma,5.0,2004-02-17 07:32:00,71.41403865717193,46.833333333333336,163.83333333333334
2nd_test,pca1,cusum,3.0,2004-02-12 11:02:00,0.3051881993896236,163.33333333333334,163.83333333333334
2nd_test,pca1,cusum,4.0,2004-02-12 11:02:00,0.3051881993896236,163.33333333333334,163.83333333333334
2nd_test,pca1,cusum,5.0,2004-02-12 11:02:00,0.3051881993896236,163.33333333333334,163.83333333333334
3rd_test,rms_mean,terminal,3.0,2004-04-15 15:22:00,94.4716204674276,59.333333333333336,1073.25
3rd_test,rms_mean,terminal,4.0,2004-04-16 03:52:00,95.63630716670549,46.833333333333336,1073.25
3rd_test,rms_mean,terminal,5.0,2004-04-16 08:32:00,96.0711235344359,42.166666666666664,1073.25
3rd_test,rms_mean,sigma,3.0,2004-03-04 09:42:00,0.023293733985557886,1073.0,1073.25
3rd_test,rms_mean,sigma,4.0,2004-03-04 12:22:00,0.27176022983150866,1070.3333333333333,1073.25
3rd_test,rms_mean,sigma,5.0,2004-04-16 08:32:00,96.0711235344359,42.166666666666664,1073.25
3rd_test,rms_mean,cusum,3.0,2004-03-04 09:27:00,0.0,1073.25,1073.25
3rd_test,rms_mean,cusum,4.0,2004-03-04 09:27:00,0.0,1073.25,1073.25
3rd_test,rms_mean,cusum,5.0,2004-03-04 09:27:00,0.0,1073.25,1073.25
3rd_test,rms_max,terminal,3.0,2004-04-16 23:12:00,97.43768926158863,27.5,1073.25
3rd_test,rms_max,terminal,4.0,2004-04-16 23:22:00,97.45321841757901,27.333333333333332,1073.25
3rd_test,rms_max,terminal,5.0,2004-04-16 23:42:00,97.48427672955975,27.0,1073.25
3rd_test,rms_max,sigma,3.0,2004-03-04 09:42:00,0.023293733985557886,1073.0,1073.25
3rd_test,rms_max,sigma,4.0,2004-04-16 23:22:00,97.45321841757901,27.333333333333332,1073.25
3rd_test,rms_max,sigma,5.0,2004-04-16 23:42:00,97.48427672955975,27.0,1073.25
3rd_test,rms_max,cusum,3.0,2004-03-04 09:27:00,0.0,1073.25,1073.25
3rd_test,rms_max,cusum,4.0,2004-03-04 09:27:00,0.0,1073.25,1073.25
3rd_test,rms_max,cusum,5.0,2004-03-04 09:27:00,0.0,1073.25,1073.25
3rd_test,rms_kurt,terminal,3.0,2004-04-15 15:22:00,94.4716204674276,59.333333333333336,1073.25
3rd_test,rms_kurt,terminal,4.0,2004-04-16 06:12:00,95.8537153505707,44.5,1073.25
3rd_test,rms_kurt,terminal,5.0,2004-04-16 08:32:00,96.0711235344359,42.166666666666664,1073.25
3rd_test,rms_kurt,sigma,3.0,2004-03-04 10:12:00,0.06988120195667366,1072.5,1073.25
3rd_test,rms_kurt,sigma,4.0,2004-03-04 12:22:00,0.27176022983150866,1070.3333333333333,1073.25
3rd_test,rms_kurt,sigma,5.0,2004-04-16 08:32:00,96.0711235344359,42.166666666666664,1073.25
3rd_test,rms_kurt,cusum,3.0,2004-03-04 09:27:00,0.0,1073.25,1073.25
3rd_test,rms_kurt,cusum,4.0,2004-03-04 09:27:00,0.0,1073.25,1073.25
3rd_test,rms_kurt,cusum,5.0,2004-03-04 09:27:00,0.0,1073.25,1073.25
3rd_test,pca1,terminal,3.0,2004-04-16 08:32:00,96.0711235344359,42.166666666666664,1073.25
3rd_test,pca1,terminal,4.0,2004-04-16 20:42:00,97.20475192173305,30.0,1073.25
3rd_test,pca1,terminal,5.0,2004-04-16 22:42:00,97.39110179361752,28.0,1073.25
3rd_test,pca1,sigma,3.0,2004-03-04 09:52:00,0.03882288997592981,1072.8333333333333,1073.25
3rd_test,pca1,sigma,4.0,2004-03-04 12:22:00,0.27176022983150866,1070.3333333333333,1073.25
3rd_test,pca1,sigma,5.0,2004-04-16 23:22:00,97.45321841757901,27.333333333333332,1073.25
3rd_test,pca1,cusum,3.0,2004-03-04 09:27:00,0.0,1073.25,1073.25
3rd_test,pca1,cusum,4.0,2004-03-04 09:27:00,0.0,1073.25,1073.25
3rd_test,pca1,cusum,5.0,2004-03-04 09:27:00,0.0,1073.25,1073.25
