dataset,run,denoiser,mode,factor,method,short_name,lead_time_hours,far_preonset_pct,valid_alarm
IMS,2nd_test,median,decimate,5,"EWMA (λ=0.2, k=3.0)",ewma,55.5,0.0,True
IMS,2nd_test,median,decimate,5,"CUSUM (k=0.5, h=5.0)",cusum,55.5,0.0,True
IMS,2nd_test,median,decimate,5,Hotelling T²,hotelling_t2,55.5,0.0,True
IMS,2nd_test,median,decimate,5,Isolation Forest,isolation_forest,47.166666666666664,0.0,True
IMS,2nd_test,moving_average,decimate,5,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,2nd_test,moving_average,decimate,5,3σ Rule (σ=3.0),three_sigma,59.666666666666664,0.0,True
IMS,2nd_test,moving_average,decimate,5,"EWMA (λ=0.2, k=3.0)",ewma,55.5,0.0,True
IMS,2nd_test,moving_average,decimate,5,"CUSUM (k=0.5, h=5.0)",cusum,55.5,0.0,True
IMS,2nd_test,moving_average,decimate,5,Hotelling T²,hotelling_t2,55.5,0.0,True
IMS,2nd_test,moving_average,decimate,5,Isolation Forest,isolation_forest,47.166666666666664,0.0,True
IMS,2nd_test,kalman,decimate,5,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,2nd_test,kalman,decimate,5,3σ Rule (σ=3.0),three_sigma,55.5,0.0,True
IMS,2nd_test,kalman,decimate,5,"EWMA (λ=0.2, k=3.0)",ewma,55.5,0.0,True
IMS,2nd_test,kalman,decimate,5,"CUSUM (k=0.5, h=5.0)",cusum,51.333333333333336,0.0,True
IMS,2nd_test,kalman,decimate,5,Hotelling T²,hotelling_t2,55.5,0.0,True
IMS,2nd_test,kalman,decimate,5,Isolation Forest,isolation_forest,47.166666666666664,0.0,True
IMS,2nd_test,wavelet,decimate,5,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,2nd_test,wavelet,decimate,5,3σ Rule (σ=3.0),three_sigma,63.833333333333336,50.0,False
IMS,2nd_test,wavelet,decimate,5,"EWMA (λ=0.2, k=3.0)",ewma,55.5,0.0,True
IMS,2nd_test,wavelet,decimate,5,"CUSUM (k=0.5, h=5.0)",cusum,55.5,0.0,True
IMS,2nd_test,wavelet,decimate,5,Hotelling T²,hotelling_t2,63.833333333333336,50.0,False
IMS,2nd_test,wavelet,decimate,5,Isolation Forest,isolation_forest,47.166666666666664,0.0,True
IMS,3rd_test,aggregate,aggregate,5,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,3rd_test,aggregate,aggregate,5,3σ Rule (σ=3.0),three_sigma,43.53333333333333,0.0,True
IMS,3rd_test,aggregate,aggregate,5,"EWMA (λ=0.2, k=3.0)",ewma,43.53333333333333,0.0,True
IMS,3rd_test,aggregate,aggregate,5,"CUSUM (k=0.5, h=5.0)",cusum,35.2,0.0,True
IMS,3rd_test,aggregate,aggregate,5,Hotelling T²,hotelling_t2,60.2,4.395604395604396,True
IMS,3rd_test,aggregate,aggregate,5,Isolation Forest,isolation_forest,31.033333333333335,0.0,True
IMS,3rd_test,decimate,decimate,5,RMS-Trend (kσ),rms_trend,12.166666666666666,0.0,True
IMS,3rd_test,decimate,decimate,5,3σ Rule (σ=3.0),three_sigma,45.5,1.098901098901099,True
IMS,3rd_test,decimate,decimate,5,"EWMA (λ=0.2, k=3.0)",ewma,28.833333333333332,0.0,True
IMS,3rd_test,decimate,decimate,5,"CUSUM (k=0.5, h=5.0)",cusum,28.833333333333332,0.0,True
IMS,3rd_test,decimate,decimate,5,Hotelling T²,hotelling_t2,62.166666666666664,5.4945054945054945,True
IMS,3rd_test,decimate,decimate,5,Isolation Forest,isolation_forest,28.833333333333332,0.0,True
IMS,3rd_test,median,decimate,5,RMS-Trend (kσ),rms_trend,12.166666666666666,0.0,True
IMS,3rd_test,median,decimate,5,3σ Rule (σ=3.0),three_sigma,45.5,1.098901098901099,True
IMS,3rd_test,median,decimate,5,"EWMA (λ=0.2, k=3.0)",ewma,28.833333333333332,0.0,True
IMS,3rd_test,median,decimate,5,"CUSUM (k=0.5, h=5.0)",cusum,28.833333333333332,0.0,True
IMS,3rd_test,median,decimate,5,Hotelling T²,hotelling_t2,62.166666666666664,5.4945054945054945,True
IMS,3rd_test,median,decimate,5,Isolation Forest,isolation_forest,28.833333333333332,0.0,True
IMS,3rd_test,moving_average,decimate,5,RMS-Trend (kσ),rms_trend,12.166666666666666,0.0,True
IMS,3rd_test,moving_average,decimate,5,3σ Rule (σ=3.0),three_sigma,45.5,1.098901098901099,True
IMS,3rd_test,moving_average,decimate,5,"EWMA (λ=0.2, k=3.0)",ewma,28.833333333333332,0.0,True
IMS,3rd_test,moving_average,decimate,5,"CUSUM (k=0.5, h=5.0)",cusum,28.833333333333332,0.0,True
IMS,3rd_test,moving_average,decimate,5,Hotelling T²,hotelling_t2,62.166666666666664,5.4945054945054945,True
IMS,3rd_test,moving_average,decimate,5,Isolation Forest,isolation_forest,28.833333333333332,0.0,True
IMS,3rd_test,kalman,decimate,5,RMS-Trend (kσ),rms_trend,12.166666666666666,0.0,True
IMS,3rd_test,kalman,decimate,5,3σ Rule (σ=3.0),three_sigma,45.5,1.098901098901099,True
IMS,3rd_test,kalman,decimate,5,"EWMA (λ=0.2, k=3.0)",ewma,28.833333333333332,0.0,True
IMS,3rd_test,kalman,decimate,5,"CUSUM (k=0.5, h=5.0)",cusum,28.833333333333332,0.0,True
IMS,3rd_test,kalman,decimate,5,Hotelling T²,hotelling_t2,62.166666666666664,5.4945054945054945,True
IMS,3rd_test,kalman,decimate,5,Isolation Forest,isolation_forest,28.833333333333332,0.0,True
IMS,3rd_test,wavelet,decimate,5,RMS-Trend (kσ),rms_trend,12.166666666666666,0.0,True
IMS,3rd_test,wavelet,decimate,5,3σ Rule (σ=3.0),three_sigma,45.5,1.098901098901099,True
IMS,3rd_test,wavelet,decimate,5,"EWMA (λ=0.2, k=3.0)",ewma,28.833333333333332,0.0,True
IMS,3rd_test,wavelet,decimate,5,"CUSUM (k=0.5, h=5.0)",cusum,28.833333333333332,0.0,True
IMS,3rd_test,wavelet,decimate,5,Hotelling T²,hotelling_t2,62.166666666666664,5.4945054945054945,True
IMS,3rd_test,wavelet,decimate,5,Isolation Forest,isolation_forest,28.833333333333332,0.0,True
