dataset,method,short_name,percentile,lead_time_hours_mean,lead_time_hours_std,far_preonset_pct_mean,far_preonset_pct_std,valid_frac,n_runs
IMS,3σ Rule (σ=3.0),three_sigma,90.0,163.76074074074074,134.3294757296188,20.696836203444132,31.020795310288396,0.6666666666666666,3
IMS,3σ Rule (σ=3.0),three_sigma,92.5,78.08851851851851,30.47560328317146,19.356561206781468,30.525378104840197,0.6666666666666666,3
IMS,3σ Rule (σ=3.0),three_sigma,95.0,76.9774074074074,31.437504933771464,18.0714635340186,30.540852342159027,0.6666666666666666,3
IMS,3σ Rule (σ=3.0),three_sigma,97.5,64.62185185185184,40.57279131971636,13.939393939393938,24.143738529747985,0.6666666666666666,3
IMS,3σ Rule (σ=3.0),three_sigma,99.0,60.74407407407407,35.15756877809999,11.717171717171716,20.29473673515048,0.6666666666666666,3
IMS,3σ Rule (σ=3.0),three_sigma,99.5,56.299629629629635,34.61518186036782,8.88888888888889,15.396007178390022,0.6666666666666666,3
IMS,3σ Rule (σ=3.0),three_sigma,99.9,55.46629629629629,34.865053080949814,7.676767676767677,13.296551654064109,0.6666666666666666,3
IMS,"CUSUM (k=0.5, h=5.0)",cusum,90.0,66.14407407407408,46.37492192044717,19.7979797979798,34.29110689732323,0.6666666666666666,3
IMS,"CUSUM (k=0.5, h=5.0)",cusum,92.5,65.31074074074074,46.37492192044718,19.595959595959595,33.941197643268914,0.6666666666666666,3
IMS,"CUSUM (k=0.5, h=5.0)",cusum,95.0,65.03296296296297,45.914319565384645,19.393939393939394,33.59128838921459,0.6666666666666666,3
IMS,"CUSUM (k=0.5, h=5.0)",cusum,97.5,64.75518518518518,45.45414240902492,19.191919191919194,33.24137913516027,0.6666666666666666,3
IMS,"CUSUM (k=0.5, h=5.0)",cusum,99.0,64.19962962962963,45.10312997725165,18.98989898989899,32.89146988110595,0.6666666666666666,3
IMS,"CUSUM (k=0.5, h=5.0)",cusum,99.5,64.19962962962963,45.10312997725165,18.98989898989899,32.89146988110595,0.6666666666666666,3
IMS,"CUSUM (k=0.5, h=5.0)",cusum,99.9,64.19962962962963,45.10312997725165,18.98989898989899,32.89146988110595,0.6666666666666666,3
IMS,Deep SVDD,deep_svdd,90.0,34.74407407407407,51.35429598836796,2.2222222222222223,3.8490017945975055,0.6666666666666666,3
IMS,Deep SVDD,deep_svdd,92.5,34.74407407407407,51.35429598836796,2.0202020202020203,3.4990925405431863,0.6666666666666666,3
IMS,Deep SVDD,deep_svdd,95.0,14.84962962962963,17.436202771193884,0.6060606060606061,1.049727762162956,0.6666666666666666,3
IMS,Deep SVDD,deep_svdd,97.5,14.84962962962963,17.436202771193884,0.6060606060606061,1.049727762162956,0.6666666666666666,3
IMS,Deep SVDD,deep_svdd,99.0,3.222222222222222,5.581052602166382,0.0,0.0,0.3333333333333333,3
