timestamp,hours_from_start,health_indicator
2023-11-08 11:24:30,0.0,-1.937378
2023-11-08 11:24:41,0.003056,-2.144127
2023-11-08 11:24:51,0.005833,-2.247501
2023-11-08 11:25:00,0.008333,-2.195814
2023-11-08 11:25:10,0.011111,-2.16997
2023-11-08 11:25:21,0.014167,-2.273344
2023-11-08 11:25:30,0.016667,-2.16997
2023-11-08 11:25:40,0.019444,-2.16997
2023-11-08 11:25:51,0.0225,-1.963222
2023-11-08 11:26:01,0.025278,-2.040752
2023-11-08 11:26:10,0.027778,-1.834004
2023-11-08 11:26:20,0.030556,-1.963222
2023-11-08 11:26:31,0.033611,-1.834004
2023-11-08 11:26:40,0.036111,-1.782317
2023-11-08 11:26:50,0.038889,-1.704787
2023-11-08 11:27:01,0.041944,-1.73063
2023-11-08 11:27:11,0.044722,-1.808161
2023-11-08 11:27:20,0.047222,-1.704787
2023-11-08 11:27:30,0.05,-1.911535
2023-11-08 11:27:41,0.053056,-1.782317
2023-11-08 11:27:51,0.055833,-1.678943
2023-11-08 11:28:00,0.058333,-1.678943
2023-11-08 11:28:11,0.061389,-1.678943
2023-11-08 11:28:21,0.064167,-1.782317
2023-11-08 11:28:30,0.066667,-1.549725
2023-11-08 11:28:40,0.069444,-1.575569
2023-11-08 11:28:51,0.0725,-1.523882
2023-11-08 11:29:01,0.075278,-1.549725
2023-11-08 11:29:10,0.077778,-1.678943
2023-11-08 11:29:21,0.080833,-1.678943
2023-11-08 11:29:31,0.083611,-1.678943
2023-11-08 11:29:40,0.086111,-1.549725
2023-11-08 11:29:50,0.088889,-1.523882
2023-11-08 11:30:01,0.091944,-1.653099
2023-11-08 11:30:11,0.094722,-1.782317
2023-11-08 11:30:20,0.097222,-1.627256
2023-11-08 11:30:30,0.1,-1.808161
2023-11-08 11:30:41,0.103056,-1.911535
2023-11-08 11:30:50,0.105556,-1.782317
2023-11-08 11:31:00,0.108333,-1.937378
2023-11-08 11:31:11,0.111389,-1.911535
2023-11-08 11:31:21,0.114167,-2.014909
2023-11-08 11:31:30,0.116667,-1.756474
2023-11-08 11:31:40,0.119444,-1.834004
2023-11-08 11:31:51,0.1225,-1.989065
2023-11-08 11:32:00,0.125,-1.859848
2023-11-08 11:32:10,0.127778,-1.989065
2023-11-08 11:32:21,0.130833,-2.040752
2023-11-08 11:32:31,0.133611,-1.989065
2023-11-08 11:32:40,0.136111,-1.989065
2023-11-08 11:32:50,0.138889,-2.066596
2023-11-08 11:33:01,0.141944,-1.911535
2023-11-08 11:33:11,0.144722,-1.937378
2023-11-08 11:33:20,0.147222,-2.040752
2023-11-08 11:33:31,0.150278,-1.885691
2023-11-08 11:33:41,0.153056,-1.627256
2023-11-08 11:33:50,0.155556,-1.678943
2023-11-08 11:34:00,0.158333,-1.678943
2023-11-08 11:34:11,0.161389,-1.653099
2023-11-08 11:34:21,0.164167,-1.73063
2023-11-08 11:34:30,0.166667,-1.73063
2023-11-08 11:34:41,0.169722,-1.73063
2023-11-08 11:34:51,0.1725,-1.342977
2023-11-08 11:35:00,0.175,-1.420508
2023-11-08 11:35:10,0.177778,-1.420508
2023-11-08 11:35:21,0.180833,-1.239603
2023-11-08 11:35:31,0.183611,-1.472195
2023-11-08 11:35:40,0.186111,-1.368821
2023-11-08 11:35:50,0.188889,-1.420508
2023-11-08 11:36:01,0.191944,-1.368821
2023-11-08 11:36:10,0.194444,-1.446351
2023-11-08 11:36:20,0.197222,-1.29129
2023-11-08 11:36:31,0.200278,-1.239603
2023-11-08 11:36:41,0.203056,-1.368821
2023-11-08 11:36:50,0.205556,-1.368821
2023-11-08 11:37:00,0.208333,-1.342977
2023-11-08 11:37:11,0.211389,-1.084542
2023-11-08 11:37:20,0.213889,-1.058698
2023-11-08 11:37:30,0.216667,-1.084542
2023-11-08 11:37:41,0.219722,-1.110385
2023-11-08 11:37:51,0.2225,-0.92948
2023-11-08 11:38:00,0.225,-1.084542
2023-11-08 11:38:10,0.227778,-1.162072
2023-11-08 11:38:21,0.230833,-1.213759
2023-11-08 11:38:30,0.233333,-1.187916
2023-11-08 11:38:40,0.236111,-0.464297
2023-11-08 11:38:51,0.239167,-0.541827
2023-11-08 11:39:01,0.241944,-0.309236
2023-11-08 11:39:10,0.244444,-0.309236
2023-11-08 11:39:20,0.247222,-0.205862
2023-11-08 11:39:31,0.250278,-0.231705
2023-11-08 11:39:41,0.253056,-0.386766
2023-11-08 11:39:50,0.255556,-0.464297
2023-11-08 11:40:01,0.258611,-0.41261
2023-11-08 11:40:11,0.261389,-0.645202
2023-11-08 11:40:20,0.263889,-0.774419
2023-11-08 11:40:30,0.266667,-0.696889
2023-11-08 11:40:41,0.269722,-0.696889
2023-11-08 11:40:51,0.2725,-0.619358
2023-11-08 11:41:00,0.275,-0.774419
2023-11-08 11:41:11,0.278056,-0.541827
2023-11-08 11:41:21,0.280833,-0.619358
2023-11-08 11:41:30,0.283333,-0.826106
2023-11-08 11:41:40,0.286111,-0.826106
2023-11-08 11:41:51,0.289167,-1.007011
2023-11-08 11:42:01,0.291944,-0.619358
2023-11-08 11:42:10,0.294444,-0.774419
2023-11-08 11:42:20,0.297222,-0.826106
2023-11-08 11:42:31,0.300278,-0.981168
2023-11-08 11:42:40,0.302778,-1.058698
2023-11-08 11:42:50,0.305556,-1.007011
2023-11-08 11:43:01,0.308611,-1.058698
2023-11-08 11:43:11,0.311389,-0.826106
2023-11-08 11:43:20,0.313889,-1.084542
2023-11-08 11:43:30,0.316667,-0.92948
2023-11-08 11:43:41,0.319722,-0.800263
2023-11-08 11:43:50,0.322222,-1.032855
2023-11-08 11:44:00,0.325,-0.903637
2023-11-08 11:44:11,0.328056,-1.007011
2023-11-08 11:44:21,0.330833,-1.032855
2023-11-08 11:44:30,0.333333,-0.92948
2023-11-08 11:44:40,0.336111,-1.007011
2023-11-08 11:44:51,0.339167,-0.955324
2023-11-08 11:45:01,0.341944,-0.800263
2023-11-08 11:45:10,0.344444,-0.955324
2023-11-08 11:45:21,0.3475,-1.032855
