dataset,run,factor,group,n_features,method,short_name,lead_time_hours,far_preonset_pct,valid_alarm
IMS,2nd_test,1,rms_only,2,"EWMA (λ=0.2, k=3.0)",ewma,56.333333333333336,0.0,True
IMS,2nd_test,1,rms_only,2,Isolation Forest,isolation_forest,42.166666666666664,0.0,True
IMS,2nd_test,1,time_only,20,3σ Rule (σ=3.0),three_sigma,47.166666666666664,0.0,True
IMS,2nd_test,1,time_only,20,"EWMA (λ=0.2, k=3.0)",ewma,47.166666666666664,0.0,True
IMS,2nd_test,1,time_only,20,Isolation Forest,isolation_forest,47.166666666666664,0.0,True
IMS,2nd_test,1,spectral_only,30,3σ Rule (σ=3.0),three_sigma,65.5,100.0,False
IMS,2nd_test,1,spectral_only,30,"EWMA (λ=0.2, k=3.0)",ewma,65.5,100.0,False
IMS,2nd_test,1,spectral_only,30,Isolation Forest,isolation_forest,47.166666666666664,0.0,True
IMS,2nd_test,1,all,50,3σ Rule (σ=3.0),three_sigma,65.5,100.0,False
IMS,2nd_test,1,all,50,"EWMA (λ=0.2, k=3.0)",ewma,65.5,100.0,False
IMS,2nd_test,1,all,50,Isolation Forest,isolation_forest,47.166666666666664,0.0,True
IMS,2nd_test,2,rms_only,1,3σ Rule (σ=3.0),three_sigma,47.36666666666667,0.0,True
IMS,2nd_test,2,rms_only,1,"EWMA (λ=0.2, k=3.0)",ewma,57.36666666666667,0.0,True
IMS,2nd_test,2,rms_only,1,Isolation Forest,isolation_forest,47.36666666666667,0.0,True
IMS,2nd_test,2,time_only,20,3σ Rule (σ=3.0),three_sigma,47.36666666666667,0.0,True
IMS,2nd_test,2,time_only,20,"EWMA (λ=0.2, k=3.0)",ewma,47.36666666666667,0.0,True
IMS,2nd_test,2,time_only,20,Isolation Forest,isolation_forest,47.36666666666667,0.0,True
IMS,2nd_test,2,spectral_only,30,3σ Rule (σ=3.0),three_sigma,64.03333333333333,50.0,False
IMS,2nd_test,2,spectral_only,30,"EWMA (λ=0.2, k=3.0)",ewma,55.7,0.0,True
IMS,2nd_test,2,spectral_only,30,Isolation Forest,isolation_forest,47.36666666666667,0.0,True
IMS,2nd_test,2,all,50,3σ Rule (σ=3.0),three_sigma,64.03333333333333,50.0,False
IMS,2nd_test,2,all,50,"EWMA (λ=0.2, k=3.0)",ewma,49.03333333333333,0.0,True
IMS,2nd_test,2,all,50,Isolation Forest,isolation_forest,49.03333333333333,0.0,True
IMS,2nd_test,5,rms_only,4,3σ Rule (σ=3.0),three_sigma,64.36666666666666,50.0,False
IMS,2nd_test,5,rms_only,4,"EWMA (λ=0.2, k=3.0)",ewma,60.2,0.0,True
IMS,2nd_test,5,rms_only,4,Isolation Forest,isolation_forest,47.7,0.0,True
IMS,2nd_test,5,time_only,20,3σ Rule (σ=3.0),three_sigma,56.03333333333333,0.0,True
IMS,2nd_test,5,time_only,20,"EWMA (λ=0.2, k=3.0)",ewma,56.03333333333333,0.0,True
IMS,2nd_test,5,time_only,20,Isolation Forest,isolation_forest,47.7,0.0,True
IMS,2nd_test,5,spectral_only,30,3σ Rule (σ=3.0),three_sigma,68.53333333333333,100.0,False
IMS,2nd_test,5,spectral_only,30,"EWMA (λ=0.2, k=3.0)",ewma,68.53333333333333,100.0,False
IMS,2nd_test,5,spectral_only,30,Isolation Forest,isolation_forest,47.7,0.0,True
IMS,2nd_test,5,all,50,3σ Rule (σ=3.0),three_sigma,68.53333333333333,100.0,False
IMS,2nd_test,5,all,50,"EWMA (λ=0.2, k=3.0)",ewma,64.36666666666666,50.0,False
IMS,2nd_test,5,all,50,Isolation Forest,isolation_forest,47.7,0.0,True
IMS,2nd_test,10,rms_only,4,3σ Rule (σ=3.0),three_sigma,72.7,100.0,False
IMS,2nd_test,10,rms_only,4,"EWMA (λ=0.2, k=3.0)",ewma,72.7,100.0,False
