dataset,run,seed,method,short_name,mode,factor,effective_interval_min,t_onset,t_fail,max_lead_hours,lead_time_hours,detection_delay_hours,far_preonset_pct,lead_norm,vlt_legacy_hours,far_legacy_pct,valid_alarm,n_test_windows,window_rows,persistence_windows,window_floored,control,onset_method
FEMTO,Bearing1_1,42,"CUSUM (k=0.5, h=5.0)",cusum,decimate,2,0.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.6166666666666667,0.013888888888888888,0.0,0.9779735682819384,0.6166666666666667,0.0,True,280,5,4,False,False,terminal
FEMTO,Bearing1_1,42,Hotelling T²,hotelling_t2,decimate,2,0.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,2.1055555555555556,,45.089285714285715,3.33920704845815,2.1055555555555556,0.0,False,280,5,4,False,False,terminal
FEMTO,Bearing1_1,42,Isolation Forest,isolation_forest,decimate,2,0.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,1.8388888888888888,,27.232142857142854,2.9162995594713657,1.8388888888888888,0.0,False,280,5,4,False,False,terminal
FEMTO,Bearing1_1,42,Deep SVDD,deep_svdd,decimate,2,0.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.05,0.5805555555555556,0.0,0.07929515418502203,0.05,0.0,True,280,5,4,False,False,terminal
FEMTO,Bearing1_1,42,LSTM-Autoencoder,lstm_ae,decimate,2,0.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,3.1166666666666667,,100.0,4.942731277533039,0.0,100.0,False,280,5,4,False,False,terminal
FEMTO,Bearing1_1,42,TCN-Autoencoder,tcn,decimate,2,0.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,3.1166666666666667,,100.0,4.942731277533039,0.0,100.0,False,280,5,4,False,False,terminal
FEMTO,Bearing1_1,42,Transformer-AD,transformer_ad,decimate,2,0.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,3.1166666666666667,,100.0,4.942731277533039,0.0,100.0,False,280,5,4,False,False,terminal
FEMTO,Bearing1_1,42,RMS-Trend (kσ),rms_trend,decimate,5,0.83,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,2.5194444444444444,,44.134078212290504,3.995594713656388,2.5194444444444444,0.0,False,224,3,2,True,False,terminal
FEMTO,Bearing1_1,42,3σ Rule (σ=3.0),three_sigma,decimate,5,0.83,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,2.5194444444444444,,39.10614525139665,3.995594713656388,2.5194444444444444,0.0,False,224,3,2,True,False,terminal
FEMTO,Bearing1_1,42,"EWMA (λ=0.2, k=3.0)",ewma,decimate,5,0.83,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.15833333333333333,0.4722222222222222,0.0,0.2511013215859031,0.15833333333333333,0.0,True,224,3,2,True,False,terminal
FEMTO,Bearing1_1,42,"CUSUM (k=0.5, h=5.0)",cusum,decimate,5,0.83,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.15833333333333333,0.4722222222222222,0.0,0.2511013215859031,0.15833333333333333,0.0,True,224,3,2,True,False,terminal
FEMTO,Bearing1_1,42,Hotelling T²,hotelling_t2,decimate,5,0.83,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,2.811111111111111,,77.09497206703911,4.458149779735683,2.811111111111111,0.0,False,224,3,2,True,False,terminal
FEMTO,Bearing1_1,42,Isolation Forest,isolation_forest,decimate,5,0.83,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,2.8666666666666667,,81.00558659217877,4.546255506607929,2.8666666666666667,0.0,False,224,3,2,True,False,terminal
FEMTO,Bearing1_1,42,Deep SVDD,deep_svdd,decimate,5,0.83,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.06111111111111111,0.5694444444444444,0.0,0.09691629955947137,0.06111111111111111,0.0,True,224,3,2,True,False,terminal
FEMTO,Bearing1_1,42,LSTM-Autoencoder,lstm_ae,decimate,5,0.83,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,3.1166666666666667,,100.0,4.942731277533039,0.0,100.0,False,224,3,2,True,False,terminal
