alpha,empirical_far_mean,empirical_far_std,n_runs,calibrated
0.01,0.18905584353409877,0.12461054807005609,6,False
0.02,0.23561077835719005,0.12206066284065367,6,False
0.05,0.2719236275192012,0.18017544366065819,6,False
0.1,0.334120533876245,0.21337578022199546,6,False
0.15,0.41352740415172246,0.2683722180197585,6,False
0.2,0.4324105605932633,0.27079883324963294,6,False
