dataset,short_name,method,metric,n_runs_with_lead,n_runs_tested,n_runs_excluded_unscoreable,run_diffs,median_diff_h,n_pos,n_neg,n_ties,n_effective,p_floor_two_sided,sign_test_p,all_same_sign,holm_p,holm_reject,family_size,ims_schema,validity_convention
XJTU-SY,hotelling_t2,Hotelling T²,gated_D7,10,7,3,"+0.0000, +0.0000, +0.0000, +0.0000, -0.2733, +0.0000, +0.0000",0.0,0,1,6,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
XJTU-SY,isolation_forest,Isolation Forest,gated_D7,10,7,3,"+0.0000, -0.9500, +0.0458, +0.0000, -0.1167, +0.0133, +0.0000",0.0,2,2,3,4,0.125,1.0,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
XJTU-SY,lstm_ae,LSTM-Autoencoder,gated_D7,3,2,1,"-0.2500, +0.0000",-0.125,0,1,1,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
XJTU-SY,one_class_svm,One-Class SVM (nu=0.05),gated_D7,10,7,3,"+0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0000",0.0,0,0,7,0,1.0,1.0,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
XJTU-SY,rms_trend,RMS-Trend (kσ),gated_D7,10,7,3,"+0.0000, +0.0000, -0.1250, +0.0000, +0.0000, +0.0333, +0.0000",0.0,1,1,5,2,0.5,1.0,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
XJTU-SY,tcn,TCN-Autoencoder,gated_D7,3,2,1,"+0.0000, +0.0000",0.0,0,0,2,0,1.0,1.0,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
XJTU-SY,three_sigma,3σ Rule (σ=3.0),gated_D7,10,7,3,"+0.0000, +0.0000, +0.0000, +0.0000, -0.1167, +0.0000, +0.0000",0.0,0,1,6,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
XJTU-SY,transformer_ad,Transformer-AD,gated_D7,3,2,1,"+0.0000, +0.0000",0.0,0,0,2,0,1.0,1.0,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
FEMTO,cusum,"CUSUM (k=0.5, h=5.0)",gated_strict,6,6,0,"+0.2700, +0.1622, +0.0000, +0.0000, +0.0000, +0.0711",0.035555555555555556,3,0,3,3,0.25,0.25,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
FEMTO,deep_svdd,Deep SVDD,gated_strict,6,6,0,"-0.0167, +0.0000, -0.0361, +0.0000, -0.0078, +0.0089",-0.0038888888888888827,1,3,2,4,0.125,0.625,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
FEMTO,ewma,"EWMA (λ=0.2, k=3.0)",gated_strict,6,6,0,"+0.1422, +0.0150, +0.0000, +0.0000, +0.0000, +0.1972",0.0075,3,0,3,3,0.25,0.25,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
FEMTO,hotelling_t2,Hotelling T²,gated_strict,6,6,0,"+0.0000, +0.1328, +0.0000, +0.0000, -0.0183, +0.0000",0.0,1,1,4,2,0.5,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
FEMTO,isolation_forest,Isolation Forest,gated_strict,6,6,0,"+0.5200, +0.2500, +0.0000, +0.0000, +0.0111, +0.2350",0.12305555555555556,4,0,2,4,0.125,0.125,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
FEMTO,lstm_ae,LSTM-Autoencoder,gated_strict,6,6,0,"+0.0000, +0.3049, +0.0000, +0.0000, +0.0074, +0.0000",0.0,2,0,4,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
FEMTO,one_class_svm,One-Class SVM (nu=0.05),gated_strict,6,6,0,"-0.2167, +0.0000, +0.0000, +0.0000, +0.0000, -0.1133",0.0,0,2,4,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
FEMTO,rms_trend,RMS-Trend (kσ),gated_strict,6,6,0,"-0.1083, +0.0000, -0.0444, +0.0061, +0.0000, -0.0961",-0.022222222222222227,1,3,2,4,0.125,0.625,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
FEMTO,tcn,TCN-Autoencoder,gated_strict,6,6,0,"+0.0000, +0.0000, +0.0000, +0.0000, -0.0241, +0.0000",0.0,0,1,5,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
FEMTO,three_sigma,3σ Rule (σ=3.0),gated_strict,6,6,0,"-0.0000, +0.0667, +0.0000, +0.0000, -0.0189, +0.2411",0.0,2,2,2,4,0.125,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
FEMTO,transformer_ad,Transformer-AD,gated_strict,6,6,0,"+0.0000, +0.0674, +0.0000, +0.0000, -0.0241, +0.0000",0.0,1,1,4,2,0.5,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
Ferrara,cusum,"CUSUM (k=0.5, h=5.0)",gated_strict,6,6,0,"+0.0083, +0.0069, +0.0000, -0.0244, -0.0181, -0.0931",-0.009027777777777773,2,3,1,5,0.0625,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
Ferrara,deep_svdd,Deep SVDD,gated_strict,6,6,0,"+0.0042, -0.0239, +0.0000, +0.0000, -0.0014, -0.0044",-0.000694444444444442,1,3,2,4,0.125,0.625,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
Ferrara,ewma,"EWMA (λ=0.2, k=3.0)",gated_strict,6,6,0,"-1.1322, +0.0067, +0.0000, -0.0231, -0.0253, -0.0978",-0.024166666666666677,1,4,1,5,0.0625,0.375,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
Ferrara,hotelling_t2,Hotelling T²,gated_strict,6,6,0,"-0.7417, +0.1681, +0.0000, +0.0000, -0.2889, +0.0000",0.0,1,2,3,3,0.25,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
Ferrara,isolation_forest,Isolation Forest,gated_strict,6,6,0,"-0.9694, +0.0472, +0.0000, -0.0175, -0.2347, +0.0000",-0.00875,1,3,2,4,0.125,0.625,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
Ferrara,lstm_ae,LSTM-Autoencoder,gated_strict,6,6,0,"+0.2950, +0.0000, +0.0000, +0.0023, +0.0000, +0.0000",0.0,2,0,4,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
Ferrara,one_class_svm,One-Class SVM (nu=0.05),gated_strict,6,6,0,"+0.4311, +0.0000, +0.0000, +0.0000, -0.1056, +0.0000",0.0,1,1,4,2,0.5,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
Ferrara,rms_trend,RMS-Trend (kσ),gated_strict,6,6,0,"+0.0228, +0.0156, +0.0000, -0.0056, +0.0028, +0.0328",0.00916666666666667,4,1,1,5,0.0625,0.375,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
Ferrara,tcn,TCN-Autoencoder,gated_strict,6,6,0,"+0.2950, +0.0000, +0.0000, +0.0023, +0.0000, +0.0000",0.0,2,0,4,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
Ferrara,three_sigma,3σ Rule (σ=3.0),gated_strict,6,6,0,"-0.8583, -0.0319, +0.0000, -0.0475, -0.2569, +0.0292",-0.03972222222222222,1,4,1,5,0.0625,0.375,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
Ferrara,transformer_ad,Transformer-AD,gated_strict,6,6,0,"+0.0339, +0.0000, +0.0000, +0.0023, -0.0189, +0.0000",0.0,2,1,3,3,0.25,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
IMS,cusum,"CUSUM (k=0.5, h=5.0)",gated_strict,3,3,0,"+0.0000, -15.8667, +4.2667",0.0,1,1,1,2,0.5,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
IMS,deep_svdd,Deep SVDD,gated_strict,3,3,0,"+8.9298, +0.0000, +0.0000",0.0,1,0,2,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
IMS,ewma,"EWMA (λ=0.2, k=3.0)",gated_strict,3,3,0,"+0.0000, -16.2000, +2.1000",0.0,1,1,1,2,0.5,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
IMS,hotelling_t2,Hotelling T²,gated_strict,3,3,0,"+0.0000, -19.3667, +51.5700",0.0,1,1,1,2,0.5,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
IMS,isolation_forest,Isolation Forest,gated_strict,3,3,0,"+0.0000, +5.7667, +3.4333",3.4333333333333336,2,0,1,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
IMS,lstm_ae,LSTM-Autoencoder,gated_strict,3,3,0,"+0.0000, +0.0000, +0.0000",0.0,0,0,3,0,1.0,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
IMS,one_class_svm,One-Class SVM (nu=0.05),gated_strict,3,3,0,"+0.0000, +0.0000, -0.8333",0.0,0,1,2,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
IMS,rms_trend,RMS-Trend (kσ),gated_strict,3,3,0,"+0.0000, +0.0000, +2.3667",0.0,1,0,2,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
IMS,tcn,TCN-Autoencoder,gated_strict,3,3,0,"+0.0000, +0.0000, +0.0000",0.0,0,0,3,0,1.0,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
IMS,three_sigma,3σ Rule (σ=3.0),gated_strict,3,3,0,"+0.0000, -5.4333, -1.0000",-1.000000000000007,0,2,1,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
IMS,transformer_ad,Transformer-AD,gated_strict,3,3,0,"+0.0000, +0.0000, +0.0000",0.0,0,0,3,0,1.0,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
ONGC,cusum,"CUSUM (k=0.5, h=5.0)",gated_strict,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
ONGC,deep_svdd,Deep SVDD,gated_strict,1,1,0,+0.0122,0.0122222222222222,1,0,0,1,1.0,1.0,True,,False,,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
ONGC,ewma,"EWMA (λ=0.2, k=3.0)",gated_strict,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
ONGC,hotelling_t2,Hotelling T²,gated_strict,1,1,0,+6.9789,6.978888888888889,1,0,0,1,1.0,1.0,True,,False,,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
ONGC,isolation_forest,Isolation Forest,gated_strict,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
ONGC,lstm_ae,LSTM-Autoencoder,gated_strict,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
ONGC,one_class_svm,One-Class SVM (nu=0.05),gated_strict,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
ONGC,rms_trend,RMS-Trend (kσ),gated_strict,1,1,0,+4.5746,4.574611111111114,1,0,0,1,1.0,1.0,True,,False,,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
ONGC,tcn,TCN-Autoencoder,gated_strict,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
ONGC,three_sigma,3σ Rule (σ=3.0),gated_strict,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
ONGC,transformer_ad,Transformer-AD,gated_strict,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
XJTU-SY,cusum,"CUSUM (k=0.5, h=5.0)",gated_strict,10,10,0,"+0.0000, +0.0000, +0.0000, +0.0000, +0.0000, -0.1167, +0.0000, +0.0000, +0.0000, +0.0000",0.0,0,1,9,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
XJTU-SY,deep_svdd,Deep SVDD,gated_strict,10,10,0,"+0.0000, +0.0000, +0.0000, -0.1700, +0.0000, +0.0000, +0.0000, -0.0067, +0.0000, +0.0000",0.0,0,2,8,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
XJTU-SY,ewma,"EWMA (λ=0.2, k=3.0)",gated_strict,10,10,0,"+0.0000, +0.0000, +0.0000, +0.0000, +0.0000, -0.1167, +0.0000, -0.6933, +0.0000, +0.0000",0.0,0,2,8,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
XJTU-SY,hotelling_t2,Hotelling T²,gated_strict,10,10,0,"+0.0000, +0.0000, +0.0000, +0.0000, +0.0000, -0.2733, +0.0000, +0.0000, +0.0000, +0.0000",0.0,0,1,9,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
XJTU-SY,isolation_forest,Isolation Forest,gated_strict,10,10,0,"+0.0000, +0.0000, -0.2375, +0.0367, +0.0000, -0.1167, +0.0000, +0.0133, +0.0000, +0.0000",0.0,2,2,6,4,0.125,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
XJTU-SY,lstm_ae,LSTM-Autoencoder,gated_strict,3,3,0,"-0.2500, +0.0000, +0.0000",0.0,0,1,2,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
XJTU-SY,one_class_svm,One-Class SVM (nu=0.05),gated_strict,10,10,0,"+0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0000, +0.0000",0.0,0,0,10,0,1.0,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
XJTU-SY,rms_trend,RMS-Trend (kσ),gated_strict,10,10,0,"+0.0000, +0.0000, +0.0000, -0.1000, +0.0000, +0.0000, +0.0000, +0.0333, +0.0000, +0.0000",0.0,1,1,8,2,0.5,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
XJTU-SY,tcn,TCN-Autoencoder,gated_strict,3,3,0,"+0.0000, +0.0000, +0.0000",0.0,0,0,3,0,1.0,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
XJTU-SY,three_sigma,3σ Rule (σ=3.0),gated_strict,10,10,0,"+0.0000, +0.0000, +0.0000, +0.0000, +0.0000, -0.1167, +0.0000, +0.0000, +0.0000, +0.0000",0.0,0,1,9,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
XJTU-SY,transformer_ad,Transformer-AD,gated_strict,3,3,0,"+0.0000, +0.0000, +0.0000",0.0,0,0,3,0,1.0,1.0,False,1.0,False,44.0,invariant (D-2),strict Eq. 5: unscoreable counted invalid (L = 0)
