dataset,method,n_runs,n_pos,n_neg,n_zero,n_effective,attainable_one_sided_floor,tost_feasible,median_diff_h,p_lower,n_eff_lower,p_upper,n_eff_upper,p_tost,tost_equivalent
Ferrara,Transformer-AD,6,4,2,0,6,0.015625,True,0.0033333333333333062,0.109375,6.0,0.015625,6.0,0.109375,False
ONGC,3σ Rule (σ=3.0),1,1,0,0,1,0.5,False,0.01055555555555543,,,,,,
ONGC,"CUSUM (k=0.5, h=5.0)",1,0,1,0,1,0.5,False,-0.017055555555558044,,,,,,
ONGC,Deep SVDD,1,1,0,0,1,0.5,False,0.00333333333333332,,,,,,
ONGC,"EWMA (λ=0.2, k=3.0)",1,0,1,0,1,0.5,False,-0.018777777777778226,,,,,,
ONGC,Hotelling T²,1,1,0,0,1,0.5,False,2.4057222222222236,,,,,,
ONGC,Isolation Forest,1,1,0,0,1,0.5,False,0.12127777777777737,,,,,,
ONGC,LSTM-Autoencoder,1,0,1,0,1,0.5,False,-0.26322222222222535,,,,,,
ONGC,RMS-Trend (kσ),1,1,0,0,1,0.5,False,0.0007222222222225128,,,,,,
ONGC,TCN-Autoencoder,1,0,1,0,1,0.5,False,-0.13438888888889267,,,,,,
ONGC,Transformer-AD,1,0,1,0,1,0.5,False,-0.005555555555559977,,,,,,
