table,dataset,short_name,field,published,dp,arm,computed,match
tab:imssweep,IMS,hotelling_t2,run_diff_3,4.6,1,B: IMS invariant (D-2) vs printed legacy - differences expected,81.7367,False
tab:imssweep,IMS,hotelling_t2,median_diff_h,4.6,1,B: IMS invariant (D-2) vs printed legacy - differences expected,1.1666666666666643,False
tab:imssweep,IMS,hotelling_t2,sign_test_p,0.25,2,B: IMS invariant (D-2) vs printed legacy - differences expected,0.25,True
tab:imssweep,IMS,deep_svdd,run_diff_1,15.2,1,B: IMS invariant (D-2) vs printed legacy - differences expected,8.9298,False
tab:imssweep,IMS,deep_svdd,run_diff_2,0.0,1,B: IMS invariant (D-2) vs printed legacy - differences expected,0.0,True
tab:imssweep,IMS,deep_svdd,run_diff_3,1.8,1,B: IMS invariant (D-2) vs printed legacy - differences expected,0.0,False
tab:imssweep,IMS,deep_svdd,median_diff_h,1.8,1,B: IMS invariant (D-2) vs printed legacy - differences expected,0.0,False
tab:imssweep,IMS,deep_svdd,sign_test_p,0.5,2,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,False
tab:imssweep,IMS,rms_trend,run_diff_1,-19.4,1,B: IMS invariant (D-2) vs printed legacy - differences expected,-0.1667,False
tab:imssweep,IMS,rms_trend,run_diff_2,0.0,1,B: IMS invariant (D-2) vs printed legacy - differences expected,0.0,True
tab:imssweep,IMS,rms_trend,run_diff_3,2.8,1,B: IMS invariant (D-2) vs printed legacy - differences expected,2.3667,False
tab:imssweep,IMS,rms_trend,median_diff_h,0.0,1,B: IMS invariant (D-2) vs printed legacy - differences expected,0.0,True
tab:imssweep,IMS,rms_trend,sign_test_p,1.0,2,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,True
tab:imssweep,IMS,lstm_ae,run_diff_1,-1.4,1,B: IMS invariant (D-2) vs printed legacy - differences expected,-1.3889,True
tab:imssweep,IMS,lstm_ae,run_diff_2,-0.4,1,B: IMS invariant (D-2) vs printed legacy - differences expected,-0.4167,True
tab:imssweep,IMS,lstm_ae,run_diff_3,-1.7,1,B: IMS invariant (D-2) vs printed legacy - differences expected,56.125,False
tab:imssweep,IMS,lstm_ae,median_diff_h,-1.4,1,B: IMS invariant (D-2) vs printed legacy - differences expected,-0.4166666666666572,False
tab:imssweep,IMS,lstm_ae,sign_test_p,0.25,2,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,False
tab:imssweep,IMS,tcn,run_diff_1,-1.4,1,B: IMS invariant (D-2) vs printed legacy - differences expected,-1.3889,True
tab:imssweep,IMS,tcn,run_diff_2,-0.4,1,B: IMS invariant (D-2) vs printed legacy - differences expected,-0.4167,True
tab:imssweep,IMS,tcn,run_diff_3,-0.2,1,B: IMS invariant (D-2) vs printed legacy - differences expected,9.0,False
tab:imssweep,IMS,tcn,median_diff_h,-0.4,1,B: IMS invariant (D-2) vs printed legacy - differences expected,-0.4166666666666572,True
tab:imssweep,IMS,tcn,sign_test_p,0.25,2,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,False
tab:imssweep,IMS,transformer_ad,run_diff_1,-1.4,1,B: IMS invariant (D-2) vs printed legacy - differences expected,-1.3889,True
tab:imssweep,IMS,transformer_ad,run_diff_2,-0.4,1,B: IMS invariant (D-2) vs printed legacy - differences expected,-0.4167,True
tab:imssweep,IMS,transformer_ad,run_diff_3,-2.5,1,B: IMS invariant (D-2) vs printed legacy - differences expected,68.7917,False
tab:imssweep,IMS,transformer_ad,median_diff_h,-1.4,1,B: IMS invariant (D-2) vs printed legacy - differences expected,-0.4166666666666572,False
tab:imssweep,IMS,transformer_ad,sign_test_p,0.25,2,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,False
tab:holm,IMS,three_sigma,sign_test_p,0.25,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,False
tab:holm,IMS,three_sigma,holm_p,1.0,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,True
tab:holm,IMS,ewma,sign_test_p,0.25,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,False
tab:holm,IMS,ewma,holm_p,1.0,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,True
tab:holm,IMS,cusum,sign_test_p,0.25,3,B: IMS invariant (D-2) vs printed legacy - differences expected,0.25,True
tab:holm,IMS,cusum,holm_p,1.0,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,True
tab:holm,IMS,hotelling_t2,sign_test_p,0.25,3,B: IMS invariant (D-2) vs printed legacy - differences expected,0.25,True
tab:holm,IMS,hotelling_t2,holm_p,1.0,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,True
tab:holm,IMS,isolation_forest,sign_test_p,0.25,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,False
tab:holm,IMS,isolation_forest,holm_p,1.0,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,True
tab:holm,IMS,deep_svdd,sign_test_p,0.5,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,False
tab:holm,IMS,deep_svdd,holm_p,1.0,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,True
tab:holm,IMS,lstm_ae,sign_test_p,0.25,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,False
tab:holm,IMS,lstm_ae,holm_p,1.0,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,True
tab:holm,IMS,tcn,sign_test_p,0.25,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,False
tab:holm,IMS,tcn,holm_p,1.0,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,True
tab:holm,IMS,transformer_ad,sign_test_p,0.25,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,False
tab:holm,IMS,transformer_ad,holm_p,1.0,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,True
tab:holm,IMS,rms_trend,sign_test_p,1.0,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,True
tab:holm,IMS,rms_trend,holm_p,1.0,3,B: IMS invariant (D-2) vs printed legacy - differences expected,1.0,True
