dataset,published_file,rows_pub,rows_new,columns_only_in_one,values_identical,bytes_identical_common_columns,raw_file_bytes_identical,sha256_pub_common,sha256_new_common
IMS,benchmark_IMS_long_invariant.csv,300,300,feature_mode,True,True,False,21de9fd0dd4ffa59,21de9fd0dd4ffa59
XJTU-SY,benchmark_XJTU-SY_long.csv,900,900,,True,True,True,9071eadb0918e4a5,9071eadb0918e4a5
