schema,detector,method,n_train_windows,n_test_windows,n_features,train_seconds,inference_us_per_window,repeats
invariant,one_class_svm,One-Class SVM (nu=0.05),631,506,49,0.010828,25.826,5
invariant,rms_trend,RMS-Trend (kσ),631,506,49,0.000333,0.293,5
