dataset,group,method,short_name,lead_time_hours_mean,lead_time_hours_std,far_preonset_pct_mean,valid_frac,n_features,n_runs
IMS,all,3σ Rule (σ=3.0),three_sigma,73.64407407407407,36.24234342866981,52.121212121212125,0.3333333333333333,50,3
IMS,all,"CUSUM (k=0.5, h=5.0)",cusum,64.91074074074074,37.03338101029256,42.17171717171717,0.3333333333333333,50,3
IMS,all,Deep SVDD,deep_svdd,1.0,1.7320508075688772,0.0,0.3333333333333333,50,3
IMS,all,"EWMA (λ=0.2, k=3.0)",ewma,72.81074074074074,37.34011661810255,52.121212121212125,0.3333333333333333,50,3
IMS,all,Hotelling T²,hotelling_t2,83.2274074074074,35.875344285065985,55.940461887598445,0.3333333333333333,50,3
IMS,all,Isolation Forest,isolation_forest,70.8662962962963,45.4479018018357,20.606060606060606,0.6666666666666666,50,3
IMS,envelope_only,3σ Rule (σ=3.0),three_sigma,84.6885185185185,54.701357108826144,57.17171717171717,0.3333333333333333,16,3
IMS,envelope_only,"CUSUM (k=0.5, h=5.0)",cusum,82.74407407407408,56.2191990879498,58.18181818181819,0.3333333333333333,16,3
IMS,envelope_only,Deep SVDD,deep_svdd,3.9051851851851853,6.763979153706016,0.0,0.3333333333333333,16,3
IMS,envelope_only,"EWMA (λ=0.2, k=3.0)",ewma,84.68851851851852,55.49588362371532,58.58585858585858,0.3333333333333333,16,3
IMS,envelope_only,Hotelling T²,hotelling_t2,134.27185185185184,65.38192684860408,63.10283451252614,0.3333333333333333,16,3
IMS,envelope_only,Isolation Forest,isolation_forest,99.43296296296296,83.8137869881824,29.29292929292929,0.6666666666666666,16,3
IMS,kurt_only,3σ Rule (σ=3.0),three_sigma,73.5774074074074,69.33091084027662,16.161616161616163,0.6666666666666666,5,3
IMS,kurt_only,"CUSUM (k=0.5, h=5.0)",cusum,68.29962962962964,81.53310666160714,27.67676767676768,0.3333333333333333,5,3
IMS,kurt_only,Deep SVDD,deep_svdd,11.34962962962963,19.658135165607657,0.6060606060606061,0.3333333333333333,5,3
IMS,kurt_only,"EWMA (λ=0.2, k=3.0)",ewma,68.29962962962962,77.81071453667431,25.05050505050505,0.6666666666666666,5,3
IMS,kurt_only,Hotelling T²,hotelling_t2,71.0774074074074,74.32096442793205,16.161616161616163,0.6666666666666666,5,3
IMS,kurt_only,Isolation Forest,isolation_forest,60.24407407407407,79.97836057900504,16.161616161616163,0.6666666666666666,5,3
IMS,rms_only,3σ Rule (σ=3.0),three_sigma,32.294074074074075,17.099831972798512,0.0,1.0,8,3
IMS,rms_only,"CUSUM (k=0.5, h=5.0)",cusum,47.16074074074074,11.811408239877812,6.060606060606061,0.6666666666666666,8,3
IMS,rms_only,Deep SVDD,deep_svdd,4.071851851851852,4.700347417332191,0.0,0.6666666666666666,8,3
IMS,rms_only,"EWMA (λ=0.2, k=3.0)",ewma,34.5162962962963,21.892609535260398,0.0,1.0,8,3
IMS,rms_only,Hotelling T²,hotelling_t2,66.5774074074074,28.501559635326814,7.85965380679037,0.6666666666666666,8,3
IMS,rms_only,Isolation Forest,isolation_forest,31.960740740740743,9.274187284837343,0.20202020202020202,1.0,8,3
IMS,spectral_only,3σ Rule (σ=3.0),three_sigma,75.8662962962963,39.90570738494688,53.73737373737373,0.3333333333333333,30,3
IMS,spectral_only,"CUSUM (k=0.5, h=5.0)",cusum,70.58851851851851,41.20245168801101,52.323232323232325,0.3333333333333333,30,3
IMS,spectral_only,Deep SVDD,deep_svdd,0.0,0.0,0.0,0.0,30,3
IMS,spectral_only,"EWMA (λ=0.2, k=3.0)",ewma,75.31074074074074,40.61474433258993,53.73737373737373,0.3333333333333333,30,3
IMS,spectral_only,Hotelling T²,hotelling_t2,112.58296296296295,42.04959285975051,57.4836470431184,0.3333333333333333,30,3
IMS,spectral_only,Isolation Forest,isolation_forest,70.58851851851851,52.53952116609115,23.434343434343432,0.6666666666666666,30,3
IMS,time+spectral,3σ Rule (σ=3.0),three_sigma,73.64407407407407,36.24234342866981,52.121212121212125,0.3333333333333333,50,3
IMS,time+spectral,"CUSUM (k=0.5, h=5.0)",cusum,64.91074074074074,37.03338101029256,42.17171717171717,0.3333333333333333,50,3
IMS,time+spectral,Deep SVDD,deep_svdd,1.0,1.7320508075688772,0.0,0.3333333333333333,50,3
IMS,time+spectral,"EWMA (λ=0.2, k=3.0)",ewma,72.81074074074074,37.34011661810255,52.121212121212125,0.3333333333333333,50,3
IMS,time+spectral,Hotelling T²,hotelling_t2,83.2274074074074,35.875344285065985,55.940461887598445,0.3333333333333333,50,3
IMS,time+spectral,Isolation Forest,isolation_forest,70.8662962962963,45.4479018018357,20.606060606060606,0.6666666666666666,50,3
IMS,time_only,3σ Rule (σ=3.0),three_sigma,56.57740740740741,33.4572559502444,3.8383838383838387,0.6666666666666666,20,3
IMS,time_only,"CUSUM (k=0.5, h=5.0)",cusum,55.74407407407407,34.50842642368213,15.15151515151515,0.6666666666666666,20,3
IMS,time_only,Deep SVDD,deep_svdd,1.277777777777778,2.2131760318935654,0.0,0.3333333333333333,20,3
IMS,time_only,"EWMA (λ=0.2, k=3.0)",ewma,57.96629629629629,35.77690234148652,16.161616161616163,0.6666666666666666,20,3
IMS,time_only,Hotelling T²,hotelling_t2,75.03296296296297,37.958599772750034,21.39500734214391,0.6666666666666666,20,3
IMS,time_only,Isolation Forest,isolation_forest,63.3662962962963,44.09098043780698,18.787878787878785,0.6666666666666666,20,3
