table,tex_line,dataset,short_name,field,printed,dp,old,old_matches_print,new,new_matches_print,moves
tab:ferrara,469,Ferrara,deep_svdd,sign_test_p,0.688,3,0.6875,True,0.375,False,True
tab:ferrara,470,Ferrara,lstm_ae,median_diff_h,0.0,2,0.0033333333333333062,True,0.0,True,False
tab:ferrara,470,Ferrara,lstm_ae,n_pos,4.0,0,4.0,True,2.0,False,True
tab:ferrara,470,Ferrara,lstm_ae,n_neg,2.0,0,2.0,True,2.0,True,False
tab:ferrara,470,Ferrara,lstm_ae,sign_test_p,0.688,3,0.6875,True,1.0,False,True
tab:ferrara,471,Ferrara,tcn,median_diff_h,0.0,2,0.0033333333333333062,True,0.0011574074074074056,True,False
tab:ferrara,471,Ferrara,tcn,n_pos,4.0,0,4.0,True,3.0,False,True
tab:ferrara,471,Ferrara,tcn,n_neg,2.0,0,2.0,True,1.0,False,True
tab:ferrara,471,Ferrara,tcn,sign_test_p,0.688,3,0.6875,True,0.625,False,True
tab:ferrara,472,Ferrara,transformer_ad,median_diff_h,0.0,2,0.0033333333333333062,True,0.0011574074074074056,True,False
tab:ferrara,472,Ferrara,transformer_ad,n_pos,4.0,0,4.0,True,3.0,False,True
tab:ferrara,472,Ferrara,transformer_ad,n_neg,2.0,0,2.0,True,1.0,False,True
tab:ferrara,472,Ferrara,transformer_ad,sign_test_p,0.688,3,0.6875,True,0.625,False,True
tab:ferrara,473,Ferrara,rms_trend,median_diff_h,-0.0,2,-0.0030555555555555475,True,0.00916666666666667,False,True
tab:ferrara,473,Ferrara,rms_trend,n_pos,3.0,0,3.0,True,4.0,False,True
tab:ferrara,473,Ferrara,rms_trend,n_neg,3.0,0,3.0,True,2.0,False,True
tab:ferrara,473,Ferrara,rms_trend,sign_test_p,1.0,3,1.0,True,0.6875,False,True
tab:holm,548,FEMTO,three_sigma,sign_test_p,0.219,3,0.21875,True,0.21875,True,False
tab:holm,548,FEMTO,three_sigma,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,549,FEMTO,ewma,sign_test_p,1.0,3,1.0,True,0.6875,False,True
tab:holm,549,FEMTO,ewma,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,550,FEMTO,cusum,sign_test_p,1.0,3,1.0,True,0.6875,False,True
tab:holm,550,FEMTO,cusum,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,551,FEMTO,hotelling_t2,sign_test_p,0.219,3,0.21875,True,0.21875,True,False
tab:holm,551,FEMTO,hotelling_t2,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,552,FEMTO,isolation_forest,sign_test_p,0.031,3,0.03125,True,0.6875,False,True
tab:holm,552,FEMTO,isolation_forest,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,553,FEMTO,deep_svdd,sign_test_p,1.0,3,1.0,True,0.625,False,True
tab:holm,553,FEMTO,deep_svdd,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,554,FEMTO,one_class_svm,sign_test_p,0.688,3,0.6875,True,0.375,False,True
tab:holm,554,FEMTO,one_class_svm,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,555,FEMTO,lstm_ae,sign_test_p,0.688,3,0.6875,True,0.25,False,True
tab:holm,555,FEMTO,lstm_ae,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,556,FEMTO,tcn,sign_test_p,1.0,3,1.0,True,1.0,True,False
tab:holm,556,FEMTO,tcn,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,557,FEMTO,transformer_ad,sign_test_p,0.219,3,0.21875,True,0.125,False,True
tab:holm,557,FEMTO,transformer_ad,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,558,FEMTO,rms_trend,sign_test_p,0.688,3,0.6875,True,0.625,False,True
tab:holm,558,FEMTO,rms_trend,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,559,Ferrara,three_sigma,sign_test_p,1.0,3,1.0,True,1.0,True,False
tab:holm,559,Ferrara,three_sigma,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,560,Ferrara,ewma,sign_test_p,1.0,3,1.0,True,0.6875,False,True
tab:holm,560,Ferrara,ewma,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,561,Ferrara,cusum,sign_test_p,0.688,3,0.6875,True,0.21875,False,True
tab:holm,561,Ferrara,cusum,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,562,Ferrara,hotelling_t2,sign_test_p,0.219,3,0.21875,True,0.375,False,True
tab:holm,562,Ferrara,hotelling_t2,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,563,Ferrara,isolation_forest,sign_test_p,0.688,3,0.6875,True,1.0,False,True
tab:holm,563,Ferrara,isolation_forest,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,564,Ferrara,deep_svdd,sign_test_p,0.688,3,0.6875,True,0.375,False,True
tab:holm,564,Ferrara,deep_svdd,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,565,Ferrara,one_class_svm,sign_test_p,0.219,3,0.21875,True,0.375,False,True
tab:holm,565,Ferrara,one_class_svm,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,566,Ferrara,lstm_ae,sign_test_p,0.688,3,0.6875,True,1.0,False,True
tab:holm,566,Ferrara,lstm_ae,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,567,Ferrara,tcn,sign_test_p,0.688,3,0.6875,True,0.625,False,True
tab:holm,567,Ferrara,tcn,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,568,Ferrara,transformer_ad,sign_test_p,0.688,3,0.6875,True,0.625,False,True
tab:holm,568,Ferrara,transformer_ad,holm_p,1.0,3,1.0,True,1.0,True,False
tab:holm,569,Ferrara,rms_trend,sign_test_p,1.0,3,1.0,True,0.6875,False,True
tab:holm,569,Ferrara,rms_trend,holm_p,1.0,3,1.0,True,1.0,True,False
tab:ongc,1152,ONGC,three_sigma,median_diff_min,0.5,1,0.4999999999999716,True,0.0,False,True
tab:ongc,1153,ONGC,ewma,median_diff_min,-1.1,1,-1.150000000000233,True,-0.4833333333334622,False,True
tab:ongc,1154,ONGC,hotelling_t2,median_diff_min,0.8,1,0.8500000000000796,True,0.350000000000108,False,True
tab:ongc,1155,ONGC,isolation_forest,median_diff_min,1.2,1,1.1833333333332519,True,1.1833333333332519,True,False
tab:ongc,1156,ONGC,rms_trend,median_diff_min,0.0,1,0.0,True,1.183333333333465,False,True
