dataset,run,method,short_name,percentile,lead_time_hours,far_preonset_pct,valid_alarm
IMS,2nd_test,"CUSUM (k=0.5, h=5.0)",cusum,95.0,53.0,0.0,True
IMS,2nd_test,Hotelling T²,hotelling_t2,95.0,56.333333333333336,0.0,True
IMS,2nd_test,Isolation Forest,isolation_forest,95.0,49.666666666666664,0.0,True
IMS,2nd_test,Deep SVDD,deep_svdd,95.0,0.0,0.0,False
IMS,2nd_test,RMS-Trend (kσ),rms_trend,95.0,0.0,0.0,False
IMS,2nd_test,3σ Rule (σ=3.0),three_sigma,97.5,56.333333333333336,0.0,True
IMS,2nd_test,"EWMA (λ=0.2, k=3.0)",ewma,97.5,55.5,0.0,True
IMS,2nd_test,"CUSUM (k=0.5, h=5.0)",cusum,97.5,53.0,0.0,True
IMS,2nd_test,Hotelling T²,hotelling_t2,97.5,56.333333333333336,0.0,True
IMS,2nd_test,Isolation Forest,isolation_forest,97.5,49.666666666666664,0.0,True
IMS,2nd_test,Deep SVDD,deep_svdd,97.5,0.0,0.0,False
IMS,2nd_test,RMS-Trend (kσ),rms_trend,97.5,0.0,0.0,False
IMS,2nd_test,3σ Rule (σ=3.0),three_sigma,99.0,56.333333333333336,0.0,True
IMS,2nd_test,"EWMA (λ=0.2, k=3.0)",ewma,99.0,55.5,0.0,True
IMS,2nd_test,"CUSUM (k=0.5, h=5.0)",cusum,99.0,52.166666666666664,0.0,True
IMS,2nd_test,Hotelling T²,hotelling_t2,99.0,56.333333333333336,0.0,True
IMS,2nd_test,Isolation Forest,isolation_forest,99.0,47.166666666666664,0.0,True
IMS,2nd_test,Deep SVDD,deep_svdd,99.0,0.0,0.0,False
IMS,2nd_test,RMS-Trend (kσ),rms_trend,99.0,0.0,0.0,False
IMS,2nd_test,3σ Rule (σ=3.0),three_sigma,99.5,47.166666666666664,0.0,True
IMS,2nd_test,"EWMA (λ=0.2, k=3.0)",ewma,99.5,55.5,0.0,True
IMS,2nd_test,"CUSUM (k=0.5, h=5.0)",cusum,99.5,52.166666666666664,0.0,True
IMS,2nd_test,Hotelling T²,hotelling_t2,99.5,56.333333333333336,0.0,True
IMS,2nd_test,Isolation Forest,isolation_forest,99.5,9.666666666666666,0.0,True
IMS,2nd_test,Deep SVDD,deep_svdd,99.5,0.0,0.0,False
IMS,2nd_test,RMS-Trend (kσ),rms_trend,99.5,0.0,0.0,False
IMS,2nd_test,3σ Rule (σ=3.0),three_sigma,99.9,47.166666666666664,0.0,True
