dataset,bearing,train_fraction,method,short_name,n_train_windows,lead_time_hours,far_preonset_pct,valid_alarm,na
FEMTO,Bearing1_2,0.2,TCN-Autoencoder,tcn,86,0.5694444444444444,11.29032258064516,False,False
FEMTO,Bearing1_2,0.2,Transformer-AD,transformer_ad,86,0.18055555555555555,8.064516129032258,True,False
FEMTO,Bearing1_2,0.3,RMS-Trend (kσ),rms_trend,86,0.0,0.0,False,False
FEMTO,Bearing1_2,0.3,3σ Rule (σ=3.0),three_sigma,86,0.125,1.6129032258064515,True,False
FEMTO,Bearing1_2,0.3,"EWMA (λ=0.2, k=3.0)",ewma,86,0.125,1.6129032258064515,True,False
FEMTO,Bearing1_2,0.3,"CUSUM (k=0.5, h=5.0)",cusum,86,0.125,1.6129032258064515,True,False
FEMTO,Bearing1_2,0.3,Hotelling T²,hotelling_t2,86,0.125,1.6129032258064515,True,False
FEMTO,Bearing1_2,0.3,Isolation Forest,isolation_forest,86,0.125,1.6129032258064515,True,False
FEMTO,Bearing1_2,0.3,Deep SVDD,deep_svdd,86,0.0,0.0,False,False
FEMTO,Bearing1_2,0.3,LSTM-Autoencoder,lstm_ae,86,0.1388888888888889,3.225806451612903,True,False
FEMTO,Bearing1_2,0.3,TCN-Autoencoder,tcn,86,0.5694444444444444,11.29032258064516,False,False
FEMTO,Bearing1_2,0.3,Transformer-AD,transformer_ad,86,0.18055555555555555,8.064516129032258,True,False
FEMTO,Bearing1_2,0.4,RMS-Trend (kσ),rms_trend,86,0.0,0.0,False,False
FEMTO,Bearing1_2,0.4,3σ Rule (σ=3.0),three_sigma,86,0.125,1.6129032258064515,True,False
FEMTO,Bearing1_2,0.4,"EWMA (λ=0.2, k=3.0)",ewma,86,0.125,1.6129032258064515,True,False
FEMTO,Bearing1_2,0.4,"CUSUM (k=0.5, h=5.0)",cusum,86,0.125,1.6129032258064515,True,False
FEMTO,Bearing1_2,0.4,Hotelling T²,hotelling_t2,86,0.125,1.6129032258064515,True,False
FEMTO,Bearing1_2,0.4,Isolation Forest,isolation_forest,86,0.125,1.6129032258064515,True,False
FEMTO,Bearing1_2,0.4,Deep SVDD,deep_svdd,86,0.0,0.0,False,False
FEMTO,Bearing1_2,0.4,LSTM-Autoencoder,lstm_ae,86,0.1388888888888889,3.225806451612903,True,False
FEMTO,Bearing1_2,0.4,TCN-Autoencoder,tcn,86,0.5694444444444444,11.29032258064516,False,False
FEMTO,Bearing1_2,0.4,Transformer-AD,transformer_ad,86,0.18055555555555555,8.064516129032258,True,False
FEMTO,Bearing1_2,0.5,RMS-Trend (kσ),rms_trend,86,0.0,0.0,False,False
FEMTO,Bearing1_2,0.5,3σ Rule (σ=3.0),three_sigma,86,0.125,1.6129032258064515,True,False
FEMTO,Bearing1_2,0.5,"EWMA (λ=0.2, k=3.0)",ewma,86,0.125,1.6129032258064515,True,False
FEMTO,Bearing1_2,0.5,"CUSUM (k=0.5, h=5.0)",cusum,86,0.125,1.6129032258064515,True,False
