dataset,run,snr_db,mode,factor,method,short_name,lead_time_hours,far_preonset_pct,valid_alarm
IMS,1st_test,30.0,decimate,5,"CUSUM (k=0.5, h=5.0)",cusum,118.26555555555555,60.60606060606061,False
IMS,1st_test,30.0,decimate,5,Hotelling T²,hotelling_t2,173.96555555555557,84.84848484848484,False
IMS,1st_test,30.0,decimate,5,Isolation Forest,isolation_forest,124.0988888888889,63.63636363636363,False
IMS,2nd_test,inf,aggregate,5,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,2nd_test,inf,aggregate,5,3σ Rule (σ=3.0),three_sigma,56.03333333333333,0.0,True
IMS,2nd_test,inf,aggregate,5,"EWMA (λ=0.2, k=3.0)",ewma,56.03333333333333,0.0,True
IMS,2nd_test,inf,aggregate,5,"CUSUM (k=0.5, h=5.0)",cusum,56.03333333333333,0.0,True
IMS,2nd_test,inf,aggregate,5,Hotelling T²,hotelling_t2,64.36666666666666,50.0,False
IMS,2nd_test,inf,aggregate,5,Isolation Forest,isolation_forest,18.533333333333335,0.0,True
IMS,2nd_test,inf,decimate,5,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,2nd_test,inf,decimate,5,3σ Rule (σ=3.0),three_sigma,55.5,0.0,True
IMS,2nd_test,inf,decimate,5,"EWMA (λ=0.2, k=3.0)",ewma,55.5,0.0,True
IMS,2nd_test,inf,decimate,5,"CUSUM (k=0.5, h=5.0)",cusum,55.5,0.0,True
IMS,2nd_test,inf,decimate,5,Hotelling T²,hotelling_t2,55.5,0.0,True
IMS,2nd_test,inf,decimate,5,Isolation Forest,isolation_forest,47.166666666666664,0.0,True
IMS,2nd_test,10.0,aggregate,5,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,2nd_test,10.0,aggregate,5,3σ Rule (σ=3.0),three_sigma,47.7,0.0,True
IMS,2nd_test,10.0,aggregate,5,"EWMA (λ=0.2, k=3.0)",ewma,56.03333333333333,0.0,True
IMS,2nd_test,10.0,aggregate,5,"CUSUM (k=0.5, h=5.0)",cusum,56.03333333333333,0.0,True
IMS,2nd_test,10.0,aggregate,5,Hotelling T²,hotelling_t2,56.03333333333333,0.0,True
IMS,2nd_test,10.0,aggregate,5,Isolation Forest,isolation_forest,18.533333333333335,0.0,True
