n,label,env,width,page,height_bp,frac_textheight,page_equiv,caption_words,src_line
1,tab:datasets,table,single,5,124.5,0.192,0.108,32,153
2,alg:onset,algorithm,single,6,92.7,0.143,0.084,0,195
3,tab:imsdet,table,single,9,239.9,0.37,0.197,122,290
4,fig:health,figure,single,9,180.4,0.278,0.151,42,316
5,tab:onset,table,single,9,121.5,0.188,0.106,57,326
6,tab:robust,table,single,10,254.5,0.393,0.209,83,350
7,tab:crossds,table,single,12,427.0,0.659,0.342,107,388
8,fig:crossdataset,figure*,full,11,211.8,0.327,0.355,75,443
9,fig:sweep,figure*,full,13,208.4,0.322,0.349,22,461
10,tab:imsongc,table,single,12,206.7,0.319,0.172,75,468
11,tab:perbearing,table,single,13,188.7,0.291,0.158,52,502
12,tab:gatedcontrast,table,single,13,129.9,0.2,0.113,48,530
13,fig:conformal,figure*,full,15,395.3,0.61,0.638,75,557
14,fig:tradeoffs,figure*,full,16,210.4,0.325,0.352,26,578
15,tab:tradeoff,table,single,16,219.6,0.339,0.182,67,587
16,tab:ablation_general,table,single,16,124.9,0.193,0.109,21,618
17,fig:mintrain,figure,single,18,182.8,0.282,0.153,50,660
18,tab:hyperparams,table,single,23,380.1,0.587,0.306,65,732
19,tab:deeparch,table*,full,24,243.0,0.375,0.403,39,783
20,tab:basestats,table,single,24,148.2,0.229,0.127,38,823
21,tab:d17label,table*,full,26,178.8,0.276,0.304,94,850
22,tab:mechanism,table,single,27,243.9,0.376,0.2,79,886
