n,label,env,width,page,height_bp,frac_textheight,page_equiv,caption_words,src_line
1,tab:datasets,table,single,5,134.5,0.208,0.116,37,153
2,alg:onset,algorithm,single,6,92.7,0.143,0.084,0,195
3,tab:imsdet,table,single,9,299.7,0.462,0.244,183,290
4,fig:health,figure,single,9,180.4,0.278,0.151,42,316
5,tab:onset,table,single,9,161.4,0.249,0.137,92,326
6,tab:robust,table,single,10,355.4,0.548,0.287,192,350
7,tab:crossds,table,single,12,496.4,0.766,0.395,186,388
8,fig:crossdataset,figure*,full,11,279.9,0.432,0.46,93,443
9,fig:sweep,figure*,full,13,218.3,0.337,0.365,39,461
10,tab:imsongc,table,single,12,216.7,0.334,0.18,84,468
11,tab:perbearing,table,single,13,188.7,0.291,0.158,45,502
12,tab:gatedcontrast,table,single,14,149.8,0.231,0.128,69,530
13,fig:conformal,figure*,full,15,435.1,0.672,0.699,142,557
14,fig:tradeoffs,figure*,full,17,231.6,0.357,0.385,65,578
15,tab:tradeoff,table,single,16,239.5,0.37,0.197,93,587
16,tab:ablation_general,table,single,17,154.8,0.239,0.132,51,618
17,fig:mintrain,figure,single,18,222.6,0.344,0.184,80,660
18,tab:hyperparams,table,single,24,390.1,0.602,0.313,73,732
19,tab:deeparch,table*,full,25,252.9,0.39,0.418,64,783
20,tab:basestats,table,single,26,148.2,0.229,0.127,38,827
21,tab:d17label,table*,full,28,188.8,0.291,0.319,112,854
22,tab:mechanism,table,single,29,253.8,0.392,0.208,91,890
